Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
TI ^13.06.2021^,32.38,13.12,351491
BS ^13.06.2021^,31.87,15.35,195844
GE ^13.06.2021^,31.01,16.62,504128
BE ^13.06.2021^,30.5,14.63,1039474
SH ^13.06.2021^,30.36,16.34,82348
OW ^13.06.2021^,30.25,4.88,37930
BL ^13.06.2021^,30.2,14.01,289468
UR ^13.06.2021^,29.25,14.53,36703
GL ^13.06.2021^,27.95,9.6,40590
AG ^13.06.2021^,27.54,14.35,685845
LU ^13.06.2021^,27.4,13.64,413120
GR ^13.06.2021^,27.36,14.69,199021
NW ^13.06.2021^,27.33,13.75,43087
CH ^13.06.2021^,27.2,16.39,8606033
ZG ^13.06.2021^,27.13,17.37,127642
SO ^13.06.2021^,26.63,17.47,275247
VS ^13.06.2021^,26.37,12.73,345525
NE ^13.06.2021^,25.97,16.59,176496
AI ^13.06.2021^,25.94,13.63,16128
SZ ^13.06.2021^,25.74,13.25,160480
TG ^13.06.2021^,25.7,17.99,279547
VD ^13.06.2021^,25.68,19.56,805098
ZH ^13.06.2021^,25.64,18.6,1539275
AR ^13.06.2021^,24.89,16.02,55445
JU ^13.06.2021^,24.86,18.02,73584
SG ^13.06.2021^,22.44,20.01,510734
FR ^13.06.2021^,20.84,18.12,321783
