date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,16.3,0.0
2021-02-07,14.0,0.0
2021-02-14,11.0,1.4
2021-02-21,11.5,0.8
2021-02-28,11.4,1.0
2021-03-07,12.2,0.4
2021-03-14,12.3,1.0
2021-03-21,13.6,0.3
2021-03-28,16.4,1.0
2021-04-04,19.4,1.5
2021-04-11,18.0,1.0
2021-04-18,17.2,1.2
2021-04-25,17.4,0.8
2021-05-02,17.3,0.8
2021-05-09,13.6,0.5
2021-05-16,8.9,0.2
2021-05-23,11.4,0.2
2021-05-30,8.1,0.6
2021-06-06,6.1,0.2
2021-06-13,4.3,0.1
2021-06-20,3.2,0.1
2021-06-27,2.2,0.1
2021-07-04,0.9,0.0
2021-07-11,2.1,0.0
2021-07-18,4.8,0.2
2021-07-25,6.9,0.5
2021-08-01,9.9,0.5
2021-08-08,14.5,0.4
2021-08-15,26.1,0.9
2021-08-22,39.7,0.9
2021-08-29,43.1,0.8
2021-09-05,35.9,1.1
2021-09-12,31.4,1.0
