date,voll. geimpft,nicht voll. geimpft
2021-01-31,0.0,1.8
2021-02-07,0.0,4.2
2021-02-14,4.0,3.6
2021-02-21,4.5,4.2
2021-02-28,2.9,3.9
2021-03-07,1.5,4.9
2021-03-14,1.6,4.5
2021-03-21,2.5,4.8
2021-03-28,1.4,6.9
2021-04-04,3.0,7.7
2021-04-11,2.8,7.8
2021-04-18,2.4,9.7
2021-04-25,2.1,8.8
2021-05-02,2.0,8.9
2021-05-09,1.5,7.3
2021-05-16,0.4,4.9
2021-05-23,0.7,6.8
2021-05-30,0.9,3.9
2021-06-06,0.5,2.8
2021-06-13,0.5,2.1
2021-06-20,0.2,1.8
2021-06-27,0.2,1.1
2021-07-04,0.2,0.0
2021-07-11,0.0,1.6
2021-07-18,0.4,3.8
2021-07-25,0.8,4.8
2021-08-01,0.6,8.8
2021-08-08,0.9,9.9
2021-08-15,1.7,21.8
2021-08-22,2.3,27.2
2021-08-29,2.3,31.3
2021-09-05,2.2,28.9
2021-09-12,2.5,21.5
2021-09-19,2.1,21.8
2021-09-26,1.7,23.0
2021-10-03,1.2,12.5
2021-10-10,1.6,15.4
2021-10-17,1.9,11.8
2021-10-24,1.8,7.8
