date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.1,0.2
2021-07-11,,0.0,0.3
2021-07-18,,0.0,0.8
2021-07-25,,0.1,1.1
2021-08-01,,0.1,1.5
2021-08-08,,0.0,2.8
2021-08-15,,0.4,7.2
2021-08-22,,0.5,9.6
2021-08-29,,0.2,8.1
2021-09-05,,0.2,6.7
2021-09-12,,0.2,6.0
2021-09-19,,0.4,5.3
2021-09-26,,0.3,3.3
2021-10-03,,0.1,2.5
2021-10-10,,0.3,1.8
2021-10-17,,0.1,2.0
2021-10-24,,0.3,1.7
2021-10-31,,0.2,2.8
2021-11-07,,0.1,3.5
2021-11-14,,0.4,5.3
2021-11-21,,0.4,6.7
2021-11-28,,0.5,7.6
2021-12-05,1.7,1.1,10.3
2021-12-12,0.0,1.2,12.7
2021-12-19,1.2,0.9,10.5
2021-12-26,0.8,0.8,10.1
2022-01-02,1.1,1.2,8.6
2022-01-09,1.6,2.6,9.4
2022-01-16,1.0,2.1,6.3
2022-01-23,1.6,2.9,6.4
2022-01-30,1.5,3.1,6.7
2022-02-06,1.6,2.7,5.2
2022-02-13,1.4,2.8,5.2
2022-02-20,1.2,2.1,4.2
2022-02-27,1.3,1.7,3.4
2022-03-06,2.1,1.7,3.2
2022-03-13,2.5,1.9,3.3
2022-03-20,2.5,1.8,3.5
2022-03-27,1.5,1.9,2.3
2022-04-03,1.1,1.1,1.4
2022-04-10,0.7,0.7,1.2
2022-04-17,0.8,0.6,0.8
2022-04-24,0.4,0.4,0.5
2022-05-01,0.6,0.2,0.4
2022-05-08,0.2,0.3,0.4
2022-05-15,0.1,0.2,0.5
2022-05-22,0.3,0.2,0.1
2022-05-29,0.5,0.0,0.2
2022-06-05,0.3,0.1,0.2
2022-06-12,0.4,0.3,0.4
2022-06-19,0.4,0.4,0.6
2022-06-26,0.5,0.3,0.6
2022-07-03,0.8,0.5,0.6
2022-07-10,1.3,0.7,0.9
2022-07-17,0.5,0.7,0.9
2022-07-24,0.6,0.4,0.5
2022-07-31,0.4,0.4,0.6
2022-08-07,0.6,0.2,0.1
2022-08-14,0.5,0.1,0.5
2022-08-21,0.4,0.1,0.3
2022-08-28,0.5,0.2,0.3
2022-09-04,0.2,0.1,0.3
2022-09-11,0.4,0.1,0.1
2022-09-18,0.2,0.1,0.0
2022-09-25,0.3,0.1,0.2
2022-10-02,0.4,0.1,0.2
2022-10-09,0.3,0.1,0.6
2022-10-16,0.1,0.2,0.2
2022-10-23,0.1,0.1,0.2
