date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,4.5,496.1
2021-02-07,3.7,228.7
2021-02-14,2.9,80.1
2021-02-21,2.8,45.1
2021-02-28,2.6,27.8
2021-03-07,3.1,25.2
2021-03-14,3.2,22.3
2021-03-21,3.7,21.6
2021-03-28,4.3,21.6
2021-04-04,5.1,22.6
2021-04-11,4.8,18.5
2021-04-18,4.7,16.0
2021-04-25,4.7,13.8
2021-05-02,4.5,11.7
2021-05-09,3.4,7.4
2021-05-16,2.4,4.5
2021-05-23,2.7,4.0
2021-05-30,1.6,2.0
2021-06-06,1.4,1.4
2021-06-13,0.9,0.8
2021-06-20,0.6,0.4
2021-06-27,0.4,0.2
2021-07-04,0.2,0.1
2021-07-11,0.4,0.2
2021-07-18,1.0,0.4
2021-07-25,1.5,0.5
2021-08-01,2.1,0.7
2021-08-08,3.2,1.0
2021-08-15,6.9,2.1
2021-08-22,9.7,2.8
2021-08-29,8.9,2.5
2021-09-05,7.8,2.1
2021-09-12,6.8,1.8
2021-09-19,6.0,1.5
2021-09-26,4.8,1.2
2021-10-03,3.2,0.7
2021-10-10,2.9,0.6
