Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^03.03.2022^,73.17,1.16,196735.0
TI ^03.03.2022^,72.19,1.19,350986.0
BL ^03.03.2022^,71.49,1.21,290969.0
NE ^03.03.2022^,71.2,2.71,175894.0
ZH ^03.03.2022^,71.0,0.67,1553423.0
BE ^03.03.2022^,70.4,0.77,1043132.0
VD ^03.03.2022^,70.16,0.83,814762.0
SO ^03.03.2022^,69.9,0.95,277462.0
GR ^03.03.2022^,69.67,1.57,200096.0
GE ^03.03.2022^,69.32,1.66,506343.0
ZG ^03.03.2022^,69.29,0.82,128794.0
FR ^03.03.2022^,69.25,0.85,325496.0
CH ^03.03.2022^,69.05,1.05,8670300.0
SH ^03.03.2022^,68.98,1.05,83107.0
AG ^03.03.2022^,68.72,0.78,694072.0
VS ^03.03.2022^,68.06,1.84,348503.0
LU ^03.03.2022^,67.66,1.48,416347.0
NW ^03.03.2022^,67.52,1.17,43520.0
OW ^03.03.2022^,66.27,4.59,38108.0
UR ^03.03.2022^,65.17,0.71,36819.0
JU ^03.03.2022^,63.86,3.11,73709.0
SG ^03.03.2022^,63.36,0.45,514504.0
GL ^03.03.2022^,63.35,0.75,40851.0
TG ^03.03.2022^,62.46,1.54,282909.0
AR ^03.03.2022^,61.71,0.8,55309.0
SZ ^03.03.2022^,60.3,0.92,162157.0
AI ^03.03.2022^,57.13,0.32,16293.0
all ^03.03.2022^,,,
neighboring_chfl ^03.03.2022^,,,
unknown ^03.03.2022^,,,
