Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^02.05.2022^,73.36,1.06,196735.0
TI ^02.05.2022^,72.34,1.12,350986.0
BL ^02.05.2022^,71.61,1.16,290969.0
NE ^02.05.2022^,71.3,2.66,175894.0
ZH ^02.05.2022^,71.1,0.66,1553423.0
BE ^02.05.2022^,70.48,0.76,1043132.0
VD ^02.05.2022^,70.33,0.76,814762.0
SO ^02.05.2022^,70.0,0.91,277462.0
GR ^02.05.2022^,69.78,1.52,200096.0
GE ^02.05.2022^,69.47,1.6,506343.0
ZG ^02.05.2022^,69.47,0.75,128794.0
FR ^02.05.2022^,69.34,0.86,325496.0
CH ^02.05.2022^,69.15,0.99,8670300.0
SH ^02.05.2022^,69.1,0.99,83107.0
AG ^02.05.2022^,68.85,0.73,694072.0
VS ^02.05.2022^,68.19,1.76,348503.0
LU ^02.05.2022^,67.76,1.42,416347.0
NW ^02.05.2022^,67.39,1.05,43520.0
UR ^02.05.2022^,65.26,0.68,36819.0
JU ^02.05.2022^,64.33,2.78,73709.0
GL ^02.05.2022^,63.49,0.67,40851.0
SG ^02.05.2022^,63.44,0.41,514504.0
TG ^02.05.2022^,62.57,1.48,282909.0
AR ^02.05.2022^,61.76,0.78,55309.0
OW ^02.05.2022^,61.35,2.23,38108.0
SZ ^02.05.2022^,60.4,0.89,162157.0
AI ^02.05.2022^,57.15,0.33,16293.0
all ^02.05.2022^,,,
neighboring_chfl ^02.05.2022^,,,
unknown ^02.05.2022^,,,
