date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,450,0
2021-02-07,411,0
2021-02-14,315,1
2021-02-21,303,1
2021-02-28,287,2
2021-03-07,335,1
2021-03-14,349,3
2021-03-21,398,2
2021-03-28,460,4
2021-04-04,532,7
2021-04-11,504,5
2021-04-18,488,8
2021-04-25,479,5
2021-05-02,449,7
2021-05-09,327,5
2021-05-16,227,4
2021-05-23,242,2
2021-05-30,136,7
2021-06-06,112,3
2021-06-13,68,4
2021-06-20,42,4
2021-06-27,26,1
2021-07-04,16,0
2021-07-11,26,0
2021-07-18,55,3
2021-07-25,73,10
2021-08-01,106,6
2021-08-08,150,5
2021-08-15,223,9
