date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.9
2021-07-25,,0.8,4.9
2021-08-01,,0.7,9.0
2021-08-08,,0.9,10.5
2021-08-15,,1.6,22.4
2021-08-22,,2.4,28.0
2021-08-29,,2.4,33.1
2021-09-05,,2.5,31.2
2021-09-12,,2.6,23.1
2021-09-19,,2.5,24.5
2021-09-26,,2.0,25.9
2021-10-03,,1.8,17.1
2021-10-10,,2.5,17.9
2021-10-17,,2.5,17.2
2021-10-24,,3.4,17.0
2021-10-31,,3.8,27.4
2021-11-07,,5.2,32.0
2021-11-14,,6.9,43.4
2021-11-21,,10.4,73.0
2021-11-28,,12.9,89.2
2021-12-05,7.9,17.0,104.7
2021-12-12,7.0,20.4,104.5
2021-12-19,5.8,15.6,119.8
2021-12-26,7.4,19.9,106.1
2022-01-02,7.9,18.4,103.3
2022-01-09,7.6,26.0,100.6
2022-01-16,7.4,25.9,85.5
2022-01-23,7.8,30.7,82.2
2022-01-30,10.5,31.4,89.2
2022-02-06,10.2,35.8,89.8
2022-02-13,10.1,27.2,84.7
2022-02-20,10.6,25.1,68.9
2022-02-27,10.8,18.1,55.7
2022-03-06,14.0,27.6,76.2
2022-03-13,18.3,30.9,78.9
2022-03-20,18.8,30.6,90.8
2022-03-27,18.1,27.0,67.7
2022-04-03,15.8,20.2,55.9
2022-04-10,10.2,18.2,42.0
2022-04-17,8.4,14.1,28.9
2022-04-24,7.5,9.5,23.6
2022-05-01,5.5,2.7,14.9
2022-05-08,4.3,3.9,10.9
2022-05-15,4.0,5.1,10.5
2022-05-22,3.0,3.6,7.4
2022-05-29,2.3,4.8,5.7
2022-06-05,3.5,4.2,7.0
2022-06-12,4.6,4.2,7.4
2022-06-19,6.0,7.9,10.5
2022-06-26,4.7,4.9,7.0
