date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,14.0,484.1
2021-02-07,10.9,217.0
2021-02-14,8.5,78.4
2021-02-21,8.9,44.2
2021-02-28,8.7,27.0
2021-03-07,9.4,21.9
2021-03-14,9.4,18.1
2021-03-21,10.4,16.8
2021-03-28,12.7,17.5
2021-04-04,15.0,17.9
2021-04-11,13.8,13.9
2021-04-18,13.4,11.6
2021-04-25,13.5,9.7
2021-05-02,13.5,8.3
2021-05-09,10.7,5.3
2021-05-16,7.0,2.7
2021-05-23,9.0,2.5
2021-05-30,6.9,1.5
2021-06-06,5.1,0.9
2021-06-13,3.6,0.5
2021-06-20,2.9,0.4
2021-06-27,2.1,0.2
2021-07-04,0.7,0.1
2021-07-11,1.7,0.2
2021-07-18,4.5,0.4
2021-07-25,7.4,0.6
2021-08-01,9.8,0.8
2021-08-08,13.8,1.1
2021-08-15,25.2,1.9
2021-08-22,36.8,2.7
2021-08-29,41.0,2.9
2021-09-05,36.4,2.5
2021-09-12,33.0,2.2
2021-09-19,30.7,2.0
2021-09-26,29.5,1.8
2021-10-03,19.7,1.2
2021-10-10,19.9,1.1
2021-10-17,18.1,1.0
