date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.7
2021-07-18,,0.4,3.5
2021-07-25,,0.8,4.5
2021-08-01,,0.7,8.2
2021-08-08,,0.9,9.4
2021-08-15,,1.5,20.4
2021-08-22,,2.4,25.2
2021-08-29,,2.2,29.7
2021-09-05,,2.2,27.6
2021-09-12,,2.5,20.5
2021-09-19,,2.5,21.6
2021-09-26,,2.0,22.9
2021-10-03,,1.6,15.1
2021-10-10,,2.5,15.7
2021-10-17,,2.3,14.4
2021-10-24,,3.3,14.7
2021-10-31,,3.5,23.0
2021-11-07,,5.0,27.5
2021-11-14,,6.5,37.2
2021-11-21,,10.1,62.0
2021-11-28,,12.4,75.4
2021-12-05,7.4,16.4,89.1
2021-12-12,6.5,20.0,87.7
2021-12-19,5.5,15.0,100.4
2021-12-26,7.3,19.4,89.0
2022-01-02,7.7,17.7,87.2
2022-01-09,7.6,25.0,84.3
2022-01-16,7.1,24.3,71.8
2022-01-23,7.4,29.3,68.2
2022-01-30,10.1,30.2,74.0
2022-02-06,9.9,35.4,75.1
2022-02-13,9.7,26.7,71.1
2022-02-20,10.4,24.9,57.6
2022-02-27,10.6,17.8,46.5
2022-03-06,13.8,26.8,64.0
2022-03-13,18.1,30.2,65.9
2022-03-20,18.3,30.4,75.8
2022-03-27,17.8,27.1,56.5
2022-04-03,15.7,19.6,47.0
2022-04-10,10.3,18.0,34.6
2022-04-17,8.3,14.2,24.1
2022-04-24,7.5,9.5,19.7
2022-05-01,5.5,3.0,12.4
2022-05-08,4.3,4.2,9.1
2022-05-15,4.0,5.1,9.1
2022-05-22,3.3,4.5,6.2
2022-05-29,2.5,5.4,5.1
2022-06-05,4.1,4.8,6.2
2022-06-12,5.5,5.8,7.3
2022-06-19,8.2,10.9,12.8
2022-06-26,8.4,10.7,12.8
2022-07-03,11.4,12.2,22.7
2022-07-10,12.1,12.6,19.0
2022-07-17,10.4,14.2,20.5
2022-07-24,9.1,8.4,16.5
2022-07-31,8.0,4.4,16.5
2022-08-07,5.6,6.6,12.8
2022-08-14,3.9,6.1,8.1
2022-08-21,4.5,6.4,7.7
2022-08-28,4.1,3.9,6.6
2022-09-04,3.8,3.2,5.9
2022-09-11,3.9,4.8,7.3
2022-09-18,2.2,3.9,6.2
2022-09-25,3.4,5.2,10.6
2022-10-02,4.3,6.5,13.6
2022-10-09,3.2,4.5,15.8
2022-10-16,3.6,4.3,13.6
2022-10-23,3.2,4.0,15.0
2022-10-30,1.6,1.0,18.0
2022-11-06,1.4,1.0,6.6
2022-11-13,1.0,0.7,7.0
