date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,16.3,592.8
2021-02-07,12.0,238.6
2021-02-14,9.6,88.9
2021-02-21,10.9,54.2
2021-02-28,8.5,26.4
2021-03-07,9.2,21.4
2021-03-14,10.2,19.7
2021-03-21,10.9,17.6
2021-03-28,13.1,18.1
2021-04-04,14.7,17.6
2021-04-11,14.4,14.5
2021-04-18,13.8,12.0
2021-04-25,14.4,10.4
2021-05-02,14.3,8.8
2021-05-09,13.8,6.9
2021-05-16,8.7,3.3
2021-05-23,10.4,2.9
2021-05-30,7.3,1.6
2021-06-06,6.1,1.0
2021-06-13,4.8,0.7
2021-06-20,4.3,0.5
2021-06-27,3.6,0.4
2021-07-04,1.6,0.2
2021-07-11,1.7,0.2
2021-07-18,4.5,0.4
2021-07-25,7.0,0.6
2021-08-01,9.8,0.8
2021-08-08,12.1,0.9
2021-08-15,21.4,1.6
2021-08-22,33.7,2.5
2021-08-29,40.8,2.9
2021-09-05,36.3,2.5
2021-09-12,33.2,2.2
2021-09-19,33.3,2.2
2021-09-26,32.6,2.0
2021-10-03,23.4,1.4
