Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:cu: Kuba ^10.11.2021^,235.6,"Abdala, Soberana02"
:ae: Vereinigte Arabische Emirate ^12.11.2021^,214.96,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:cl: Chile ^11.11.2021^,202.14,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:uy: Uruguay ^12.11.2021^,192.09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:sg: Singapur ^11.11.2021^,185.1,"Moderna, Pfizer/BioNTech, Sinovac"
:mt: Malta ^11.11.2021^,174.62,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:il: Israel ^12.11.2021^,172.43,"Moderna, Pfizer/BioNTech"
:sc: Seychellen ^08.11.2021^,172.41,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:is: Island ^11.11.2021^,169.45,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:kh: Kambodscha ^12.11.2021^,166.47,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:qa: Katar ^12.11.2021^,166.41,"Moderna, Pfizer/BioNTech"
:cn: Volksrepublik China ^12.11.2021^,164.29,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
:bh: Bahrain ^12.11.2021^,161.32,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:pt: Portugal ^08.11.2021^,160.04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^11.11.2021^,158.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
":kr: Korea, Süd ^12.11.2021^",158.65,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^11.11.2021^,157.5,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^12.11.2021^,156.25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:my: Malaysia ^11.11.2021^,154.85,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:jp: Japan ^11.11.2021^,153.65,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^11.11.2021^,152.9,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:it: Italien ^12.11.2021^,152.24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bn: Brunei ^12.11.2021^,151.35,"Oxford/AstraZeneca, Sinopharm/Beijing"
:fr: Frankreich ^11.11.2021^,149.16,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^12.11.2021^,148.11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^11.11.2021^,147.67,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bt: Bhutan ^31.10.2021^,147.22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:se: Schweden ^12.11.2021^,146.64,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^11.11.2021^,146.21,"Moderna, Pfizer/BioNTech"
:be: Belgien ^11.11.2021^,145.8,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:au: Australien ^12.11.2021^,145.59,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^10.11.2021^,141.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nz: Neuseeland ^12.11.2021^,139.97,Pfizer/BioNTech
:sm: San Marino ^31.10.2021^,139.67,"Pfizer/BioNTech, Sputnik V"
:tr: Türkei ^12.11.2021^,139.01,"Pfizer/BioNTech, Sinovac"
:mv: Malediven ^10.11.2021^,138.99,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:mu: Mauritius ^10.11.2021^,138.55,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:cy: Zypern ^11.11.2021^,138.06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:br: Brasilien ^12.11.2021^,137.49,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:ar: Argentinien ^12.11.2021^,137.26,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:lk: Sri Lanka ^11.11.2021^,136.96,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:de: Deutschland ^12.11.2021^,136.83,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nr: Nauru ^31.08.2021^,136.7,Oxford/AstraZeneca
