Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:ae: Vereinigte Arabische Emirate ^26.08.2021^,179.25,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:uy: Uruguay ^26.08.2021^,155.95,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:mt: Malta ^25.08.2021^,154.28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:is: Island ^26.08.2021^,152.94,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:il: Israel ^26.08.2021^,151.08,"Moderna, Pfizer/BioNTech"
:sg: Singapur ^25.08.2021^,149.17,"Moderna, Pfizer/BioNTech, Sinovac"
:qa: Katar ^26.08.2021^,147.88,"Moderna, Pfizer/BioNTech"
:cl: Chile ^25.08.2021^,147.36,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:dk: Dänemark ^25.08.2021^,145.38,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:sc: Seychellen ^09.08.2021^,145.07,"Oxford/AstraZeneca, Sinopharm/Beijing"
:pt: Portugal ^26.08.2021^,141.73,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^26.08.2021^,141.32,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:ca: Kanada ^26.08.2021^,138.85,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cn: Volksrepublik China ^26.08.2021^,138.75,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:es: Spanien ^25.08.2021^,138.44,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^26.08.2021^,137.89,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
