Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:cu: Kuba ^02.12.2021^,252.64,"Abdala, Soberana02"
:cl: Chile ^03.12.2021^,215.83,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:ae: Vereinigte Arabische Emirate ^15.11.2021^,215.68,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:uy: Uruguay ^04.12.2021^,195.85,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:is: Island ^02.12.2021^,193.68,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mt: Malta ^03.12.2021^,187.61,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^05.11.2021^,184.89,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:sc: Seychellen ^29.11.2021^,181.44,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:cn: Volksrepublik China ^04.12.2021^,176.11,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
:il: Israel ^04.12.2021^,174.78,"Moderna, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^03.12.2021^,172.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:qa: Katar ^04.12.2021^,171.01,"Moderna, Pfizer/BioNTech"
:bn: Brunei ^03.12.2021^,170.84,"Oxford/AstraZeneca, Sinopharm/Beijing"
:dk: Dänemark ^02.12.2021^,170.5,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:kh: Kambodscha ^02.12.2021^,170.2,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:bh: Bahrain ^04.12.2021^,169.88,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
":kr: Korea, Süd ^02.12.2021^",167.39,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^02.12.2021^,167.36,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^02.12.2021^,165.06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:my: Malaysia ^03.12.2021^,164.37,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:it: Italien ^04.12.2021^,163.04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
