Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:sc: Seychellen ^12.05.2021^,133.28,"Oxford/AstraZeneca, Sinopharm/Beijing"
:il: Israel ^16.05.2021^,121.65,"Moderna, Pfizer/BioNTech"
:ae: Vereinigte Arabische Emirate ^16.05.2021^,115.78,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sm: San Marino ^14.05.2021^,114.23,"Pfizer/BioNTech, Sputnik V"
:mt: Malta ^15.05.2021^,95.31,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cl: Chile ^15.05.2021^,86.68,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:bh: Bahrain ^16.05.2021^,86.56,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:gb: Vereinigtes Königreich ^15.05.2021^,83.49,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^15.05.2021^,82.49,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:us: Vereinigte Staaten ^16.05.2021^,81.79,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:hu: Ungarn ^16.05.2021^,76.25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mn: Mongolei ^16.05.2021^,73.89,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:qa: Katar ^16.05.2021^,70.65,Pfizer/BioNTech
:uy: Uruguay ^16.05.2021^,66.1,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:mc: Monaco ^06.05.2021^,66.09,Pfizer/BioNTech
:bt: Bhutan ^16.05.2021^,62.47,Oxford/AstraZeneca
:is: Island ^14.05.2021^,59.7,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:rs: Serbien ^16.05.2021^,59.35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:sg: Singapur ^13.05.2021^,54.7,"Moderna, Pfizer/BioNTech"
:cy: Zypern ^16.05.2021^,49.61,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^16.05.2021^,48.79,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lt: Litauen ^16.05.2021^,48.07,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^14.05.2021^,47.04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^13.05.2021^,46.38,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^15.05.2021^,46.07,"Moderna, Pfizer/BioNTech"
:dm: Dominica ^12.05.2021^,45.89,Oxford/AstraZeneca
:it: Italien ^16.05.2021^,45.34,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^15.05.2021^,44.91,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^16.05.2021^,44.79,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^15.05.2021^,44.72,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^16.05.2021^,43.67,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^13.05.2021^,43.11,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^15.05.2021^,43.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^15.05.2021^,42.81,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:kw: Kuwait ^16.05.2021^,42.62,Pfizer/BioNTech
:pl: Polen ^15.05.2021^,41.68,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:se: Schweden ^14.05.2021^,41.37,"Oxford/AstraZeneca, Pfizer/BioNTech"
:bb: Barbados ^15.05.2021^,41.35,Oxford/AstraZeneca
:li: Liechtenstein ^12.05.2021^,41.34,"Moderna, Pfizer/BioNTech"
:gr: Griechenland ^15.05.2021^,41.18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ad: Andorra ^10.05.2021^,40.94,"Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^16.05.2021^,40.56,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ch: Schweiz ^12.05.2021^,40.39,"Moderna, Pfizer/BioNTech"
:nl: Niederlande ^16.05.2021^,40.12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^13.05.2021^,39.31,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
