Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:il: Israel ^21.04.2021^,119.78,"Moderna, Pfizer/BioNTech"
:sc: Seychellen ^19.04.2021^,118.93,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ae: Vereinigte Arabische Emirate ^21.04.2021^,100.1,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:cl: Chile ^20.04.2021^,70.85,"Pfizer/BioNTech, Sinovac"
:sm: San Marino ^20.04.2021^,68.57,"Pfizer/BioNTech, Sputnik V"
:bh: Bahrain ^21.04.2021^,66.85,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mt: Malta ^20.04.2021^,65.41,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^20.04.2021^,64.69,"Oxford/AstraZeneca, Pfizer/BioNTech"
:us: Vereinigte Staaten ^21.04.2021^,64.57,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mv: Malediven ^20.04.2021^,63.34,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:bt: Bhutan ^21.04.2021^,62.12,Oxford/AstraZeneca
:mc: Monaco ^15.04.2021^,58.49,Pfizer/BioNTech
:hu: Ungarn ^21.04.2021^,50.44,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:rs: Serbien ^21.04.2021^,46.09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:qa: Katar ^21.04.2021^,45.85,Pfizer/BioNTech
:uy: Uruguay ^21.04.2021^,42.56,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:sg: Singapur ^18.04.2021^,37.84,"Moderna, Pfizer/BioNTech"
:lt: Litauen ^21.04.2021^,30.2,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:is: Island ^19.04.2021^,29.35,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^17.04.2021^,29.24,Oxford/AstraZeneca
:at: Österreich ^21.04.2021^,29.13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^21.04.2021^,28.87,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^21.04.2021^,28.61,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^20.04.2021^,28.59,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^20.04.2021^,28.37,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^21.04.2021^,28.35,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^21.04.2021^,28.24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^21.04.2021^,27.59,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^21.04.2021^,27.22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^21.04.2021^,26.91,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^18.04.2021^,26.72,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^20.04.2021^,26.63,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^20.04.2021^,26.22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^21.04.2021^,26.15,"Oxford/AstraZeneca, Pfizer/BioNTech"
:se: Schweden ^21.04.2021^,26.11,"Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^20.04.2021^,25.64,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dm: Dominica ^12.04.2021^,25.59,Oxford/AstraZeneca
:gr: Griechenland ^21.04.2021^,25.45,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^20.04.2021^,25.13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sk: Slowakei ^21.04.2021^,25.1,Pfizer/BioNTech
:pl: Polen ^21.04.2021^,25.09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^20.04.2021^,25.08,Pfizer/BioNTech
