Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:ae: Vereinigte Arabische Emirate ^01.09.2021^,182.41,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:uy: Uruguay ^01.09.2021^,161.74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:il: Israel ^01.09.2021^,157.46,"Moderna, Pfizer/BioNTech"
:mt: Malta ^01.09.2021^,154.89,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:is: Island ^01.09.2021^,153.75,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:qa: Katar ^31.08.2021^,152.0,"Moderna, Pfizer/BioNTech"
:cl: Chile ^31.08.2021^,151.1,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:sg: Singapur ^31.08.2021^,150.77,"Moderna, Pfizer/BioNTech, Sinovac"
:dk: Dänemark ^31.08.2021^,147.49,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:pt: Portugal ^01.09.2021^,145.26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sc: Seychellen ^09.08.2021^,145.07,"Oxford/AstraZeneca, Sinopharm/Beijing"
:cn: Volksrepublik China ^01.09.2021^,143.78,"CanSino, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
:bh: Bahrain ^01.09.2021^,142.58,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:es: Spanien ^31.08.2021^,141.47,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^01.09.2021^,140.4,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^31.08.2021^,139.25,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^31.08.2021^,137.19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sm: San Marino ^29.08.2021^,136.68,"Pfizer/BioNTech, Sputnik V"
:nr: Nauru ^20.08.2021^,136.03,Oxford/AstraZeneca
:bt: Bhutan ^30.08.2021^,134.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:gb: Vereinigtes Königreich ^31.08.2021^,133.41,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mn: Mongolei ^01.09.2021^,130.28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:fr: Frankreich ^31.08.2021^,130.09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^01.09.2021^,129.48,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^29.08.2021^,127.42,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^31.08.2021^,127.21,"Moderna, Pfizer/BioNTech"
:mv: Malediven ^31.08.2021^,126.37,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:se: Schweden ^01.09.2021^,125.01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^01.09.2021^,123.69,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^31.08.2021^,123.05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cu: Kuba ^30.08.2021^,123.02,"Abdala, Soberana02"
:mu: Mauritius ^01.09.2021^,122.89,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:de: Deutschland ^31.08.2021^,121.43,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mc: Monaco ^26.08.2021^,121.16,Pfizer/BioNTech
:hu: Ungarn ^01.09.2021^,120.76,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:lu: Luxemburg ^31.08.2021^,120.25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ad: Andorra ^15.08.2021^,118.49,"Oxford/AstraZeneca, Pfizer/BioNTech"
:lt: Litauen ^01.09.2021^,118.19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^01.09.2021^,115.77,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:kh: Kambodscha ^01.09.2021^,113.57,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:li: Liechtenstein ^31.08.2021^,112.77,"Moderna, Pfizer/BioNTech"
:tr: Türkei ^01.09.2021^,111.56,"Pfizer/BioNTech, Sinovac"
:us: Vereinigte Staaten ^01.09.2021^,110.39,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:ch: Schweiz ^31.08.2021^,110.31,"Moderna, Pfizer/BioNTech"
:gr: Griechenland ^01.09.2021^,110.3,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ec: Ecuador ^31.08.2021^,109.08,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:my: Malaysia ^01.09.2021^,107.24,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:cz: Tschechien ^01.09.2021^,107.18,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sa: Saudi-Arabien ^01.09.2021^,105.69,"Oxford/AstraZeneca, Pfizer/BioNTech"
:jp: Japan ^01.09.2021^,104.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:do: Dominikanische Republik ^31.08.2021^,101.81,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:pa: Panama ^01.09.2021^,100.49,"Oxford/AstraZeneca, Pfizer/BioNTech"
:sv: El Salvador ^31.08.2021^,96.62,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:ee: Estland ^31.08.2021^,96.09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lk: Sri Lanka ^01.09.2021^,96.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:pl: Polen ^31.08.2021^,96.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ar: Argentinien ^01.09.2021^,93.83,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:si: Slowenien ^01.09.2021^,91.54,"Oxford/AstraZeneca, Pfizer/BioNTech"
:br: Brasilien ^01.09.2021^,91.37,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:ma: Marokko ^31.08.2021^,90.3,"Oxford/AstraZeneca, Sinopharm/Beijing"
:tv: Tuvalu ^26.08.2021^,89.66,Oxford/AstraZeneca
":kr: Korea, Süd ^01.09.2021^",86.77,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:rs: Serbien ^30.08.2021^,86.46,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:fj: Fidschi ^23.08.2021^,86.18,Oxford/AstraZeneca
:kn: St. Kitts und Nevis ^30.08.2021^,85.87,"Oxford/AstraZeneca, Pfizer/BioNTech"
:sk: Slowakei ^31.08.2021^,83.7,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cr: Costa Rica ^30.08.2021^,83.25,"Oxford/AstraZeneca, Pfizer/BioNTech"
:lv: Lettland ^01.09.2021^,81.1,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:hr: Kroatien ^30.08.2021^,79.99,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:au: Australien ^01.09.2021^,76.38,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^30.08.2021^,75.6,Oxford/AstraZeneca
