Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:ae: Vereinigte Arabische Emirate ^16.07.2021^,164.44,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:mt: Malta ^15.07.2021^,162.71,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sc: Seychellen ^05.07.2021^,141.98,"Oxford/AstraZeneca, Sinopharm/Beijing"
:is: Island ^15.07.2021^,136.68,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sm: San Marino ^12.07.2021^,132.74,"Pfizer/BioNTech, Sputnik V"
:bh: Bahrain ^16.07.2021^,131.07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:uy: Uruguay ^16.07.2021^,129.71,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:cl: Chile ^12.07.2021^,126.85,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:il: Israel ^16.07.2021^,126.7,"Moderna, Pfizer/BioNTech"
:qa: Katar ^16.07.2021^,121.4,"Moderna, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^15.07.2021^,120.35,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mn: Mongolei ^15.07.2021^,119.36,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:ca: Kanada ^16.07.2021^,118.51,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^16.07.2021^,112.31,"Moderna, Pfizer/BioNTech, Sinovac"
:dk: Dänemark ^16.07.2021^,109.68,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:be: Belgien ^15.07.2021^,109.59,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^15.07.2021^,107.45,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^16.07.2021^,106.64,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^15.07.2021^,106.51,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:pt: Portugal ^16.07.2021^,104.89,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^15.07.2021^,103.24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^15.07.2021^,102.34,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^16.07.2021^,102.19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mc: Monaco ^15.07.2021^,101.39,Pfizer/BioNTech
:ie: Irland ^15.07.2021^,101.17,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:us: Vereinigte Staaten ^16.07.2021^,100.65,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:li: Liechtenstein ^15.07.2021^,100.31,"Moderna, Pfizer/BioNTech"
:it: Italien ^16.07.2021^,100.18,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cn: Volksrepublik China ^16.07.2021^,99.88,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:at: Österreich ^15.07.2021^,98.45,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nr: Nauru ^13.07.2021^,97.43,Oxford/AstraZeneca
:ch: Schweiz ^15.07.2021^,96.91,"Moderna, Pfizer/BioNTech"
:se: Schweden ^16.07.2021^,95.53,"Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^15.07.2021^,93.5,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gr: Griechenland ^16.07.2021^,92.47,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^15.07.2021^,90.41,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lt: Litauen ^16.07.2021^,90.35,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^15.07.2021^,89.59,"Moderna, Pfizer/BioNTech"
:ad: Andorra ^28.06.2021^,88.43,"Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^16.07.2021^,88.18,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pl: Polen ^15.07.2021^,85.64,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:do: Dominikanische Republik ^15.07.2021^,84.19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:kn: St. Kitts und Nevis ^15.07.2021^,79.77,Oxford/AstraZeneca
:ee: Estland ^16.07.2021^,79.49,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:rs: Serbien ^14.07.2021^,79.49,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:si: Slowenien ^16.07.2021^,78.78,"Oxford/AstraZeneca, Pfizer/BioNTech"
:tr: Türkei ^16.07.2021^,74.15,"Pfizer/BioNTech, Sinovac"
:sk: Slowakei ^16.07.2021^,73.82,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mu: Mauritius ^12.07.2021^,70.89,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:hr: Kroatien ^14.07.2021^,69.93,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cu: Kuba ^14.07.2021^,69.75,"Abdala, Soberana02"
:lv: Lettland ^16.07.2021^,67.37,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^15.07.2021^,67.15,Oxford/AstraZeneca
:bt: Bhutan ^12.07.2021^,63.12,"Oxford/AstraZeneca, Pfizer/BioNTech"
:sa: Saudi-Arabien ^16.07.2021^,62.99,"Oxford/AstraZeneca, Pfizer/BioNTech"
:bb: Barbados ^14.07.2021^,59.12,Oxford/AstraZeneca
:ar: Argentinien ^16.07.2021^,58.66,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:br: Brasilien ^16.07.2021^,57.3,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:kh: Kambodscha ^15.07.2021^,56.55,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:ma: Marokko ^15.07.2021^,56.34,"Oxford/AstraZeneca, Sinopharm/Beijing"
:dm: Dominica ^16.07.2021^,55.92,"Oxford/AstraZeneca, Sinopharm/Beijing"
:kw: Kuwait ^03.07.2021^,55.62,Pfizer/BioNTech
:sv: El Salvador ^16.07.2021^,54.94,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:jp: Japan ^15.07.2021^,52.75,"Moderna, Pfizer/BioNTech"
:cr: Costa Rica ^13.07.2021^,51.17,"Oxford/AstraZeneca, Pfizer/BioNTech"
:me: Montenegro ^16.07.2021^,48.69,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:ro: Rumänien ^15.07.2021^,47.75,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fj: Fidschi ^13.07.2021^,46.85,Oxford/AstraZeneca
:gy: Guyana ^14.07.2021^,46.21,"Oxford/AstraZeneca, Sputnik V"
:co: Kolumbien ^15.07.2021^,45.09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:jo: Jordanien ^15.07.2021^,44.34,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:az: Aserbaidschan ^16.07.2021^,42.25,"Oxford/AstraZeneca, Sinovac, Sputnik V"
:my: Malaysia ^16.07.2021^,42.09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:pa: Panama ^15.07.2021^,41.95,"Oxford/AstraZeneca, Pfizer/BioNTech"
:mx: Mexiko ^15.07.2021^,41.37,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
":kr: Korea, Süd ^15.07.2021^",41.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ec: Ecuador ^15.07.2021^,41.27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:tv: Tuvalu ^15.06.2021^,40.47,Oxford/AstraZeneca
:kz: Kasachstan ^15.07.2021^,38.89,"QazVac, Sinopharm/HayatVax, Sputnik V"
:au: Australien ^16.07.2021^,38.46,"Oxford/AstraZeneca, Pfizer/BioNTech"
:bz: Belize ^15.07.2021^,38.44,"Oxford/AstraZeneca, Sinopharm/Beijing"
:sr: Suriname ^16.07.2021^,38.38,Oxford/AstraZeneca
:al: Albanien ^15.07.2021^,36.56,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:ru: Russland ^16.07.2021^,35.86,"EpiVacCorona, Sputnik V"
:mk: Nordmazedonien ^15.07.2021^,34.23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
:om: Oman ^14.07.2021^,33.85,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:lk: Sri Lanka ^16.07.2021^,31.78,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:ws: Samoa ^06.07.2021^,31.33,Oxford/AstraZeneca
:gd: Grenada ^09.07.2021^,31.17,Oxford/AstraZeneca
:pe: Peru ^15.07.2021^,30.62,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:lc: St. Lucia ^16.07.2021^,29.79,Oxford/AstraZeneca
:nz: Neuseeland ^13.07.2021^,29.12,Pfizer/BioNTech
:in: Indien ^16.07.2021^,28.96,"Covaxin, Oxford/AstraZeneca, Sputnik V"
:bn: Brunei ^13.07.2021^,27.71,"Oxford/AstraZeneca, Sinopharm/Beijing"
:tt: Trinidad und Tobago ^16.07.2021^,27.6,Oxford/AstraZeneca
:bg: Bulgarien ^16.07.2021^,27.45,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:to: Tonga ^21.06.2021^,27.12,Oxford/AstraZeneca
:bo: Bolivien ^12.07.2021^,26.71,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:bs: Bahamas ^10.07.2021^,24.92,Oxford/AstraZeneca
:lb: Libanon ^16.07.2021^,24.88,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:la: Laos ^14.07.2021^,23.49,"Sinopharm/Beijing, Sputnik V"
:vc: St. Vincent und die Grenadinen ^05.07.2021^,22.99,Oxford/AstraZeneca
:cv: Kap Verde ^13.07.2021^,22.47,"Oxford/AstraZeneca, Pfizer/BioNTech"
:tl: Osttimor ^13.07.2021^,21.33,"Oxford/AstraZeneca, Sinovac"
:md: Moldau ^15.07.2021^,21.03,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:id: Indonesien ^16.07.2021^,20.84,"Oxford/AstraZeneca, Sinovac"
:gq: Äquatorialguinea ^13.07.2021^,19.89,Sinopharm/Beijing
:th: Thailand ^15.07.2021^,19.8,"Oxford/AstraZeneca, Sinovac"
:tn: Tunesien ^15.07.2021^,19.2,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:st: São Tomé und Príncipe ^12.07.2021^,17.21,Oxford/AstraZeneca
:ba: Bosnien und Herzegowina ^05.07.2021^,14.33,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:ve: Venezuela ^12.07.2021^,14.07,"Sinopharm/Beijing, Sputnik V"
:np: Nepal ^16.07.2021^,13.34,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ph: Philippinen ^16.07.2021^,13.2,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:bw: Botswana ^10.07.2021^,12.11,Oxford/AstraZeneca
:hn: Honduras ^12.07.2021^,11.84,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
:py: Paraguay ^11.07.2021^,11.59,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
:by: Belarus ^13.06.2021^,11.36,"Sinopharm/Beijing, Sputnik V"
:zw: Simbabwe ^15.07.2021^,11.21,Sinopharm/Beijing
:uz: Usbekistan ^29.06.2021^,10.58,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V"
:km: Komoren ^05.07.2021^,10.45,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:pk: Pakistan ^16.07.2021^,10.06,"CanSino, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
:jm: Jamaika ^16.07.2021^,10.0,Oxford/AstraZeneca
:ua: Ukraine ^16.07.2021^,9.17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:am: Armenien ^11.07.2021^,8.8,"Oxford/AstraZeneca, Sinovac, Sputnik V"
:za: Südafrika ^15.07.2021^,8.51,"Johnson&Johnson, Pfizer/BioNTech"
:ir: Iran ^13.07.2021^,7.77,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:ge: Georgien ^09.07.2021^,7.25,Oxford/AstraZeneca
:gt: Guatemala ^15.07.2021^,6.71,"Moderna, Oxford/AstraZeneca"
:na: Namibia ^14.07.2021^,6.56,"Oxford/AstraZeneca, Sinopharm/Beijing"
:mm: Myanmar ^01.07.2021^,6.43,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ly: Libyen ^11.07.2021^,6.19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:bd: Bangladesch ^13.07.2021^,6.14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:gn: Guinea ^14.07.2021^,5.94,Sputnik V
:dz: Algerien ^06.06.2021^,5.7,"Oxford/AstraZeneca, Sputnik V"
:sz: Eswatini ^14.07.2021^,5.18,Oxford/AstraZeneca
:sn: Senegal ^13.07.2021^,4.92,"Oxford/AstraZeneca, Sinopharm/Beijing"
:eg: Ägypten ^12.07.2021^,4.74,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
:ao: Angola ^12.07.2021^,4.74,Oxford/AstraZeneca
:vu: Vanuatu ^13.07.2021^,4.57,Oxford/AstraZeneca
:vn: Vietnam ^16.07.2021^,4.35,"Oxford/AstraZeneca, Sinopharm/Beijing"
:tg: Togo ^10.06.2021^,4.19,Oxford/AstraZeneca
:tj: Tadschikistan ^11.07.2021^,4.17,"Oxford/AstraZeneca, Sinovac"
:gh: Ghana ^12.07.2021^,4.07,"Oxford/AstraZeneca, Sputnik V"
:mr: Mauretanien ^15.07.2021^,3.93,"Oxford/AstraZeneca, Sinopharm/Beijing"
:sb: Salomonen ^13.07.2021^,3.73,Oxford/AstraZeneca
:ci: Elfenbeinküste ^15.07.2021^,3.32,Oxford/AstraZeneca
:ga: Gabun ^12.07.2021^,3.25,Sinopharm/Beijing
:ke: Kenia ^15.07.2021^,2.99,"Oxford/AstraZeneca, Sputnik V"
":cg: Kongo, Republik ^15.07.2021^",2.97,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:sl: Sierra Leone ^05.07.2021^,2.83,"Oxford/AstraZeneca, Sinopharm/Beijing"
:dj: Dschibuti ^23.06.2021^,2.71,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
:iq: Irak ^05.07.2021^,2.7,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:kg: Kirgisistan ^23.06.2021^,2.66,"Sinopharm/Beijing, Sputnik V"
:af: Afghanistan ^14.07.2021^,2.63,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:ls: Lesotho ^05.07.2021^,2.63,Oxford/AstraZeneca
:ni: Nicaragua ^21.05.2021^,2.53,"Oxford/AstraZeneca, Sputnik V"
:ug: Uganda ^14.07.2021^,2.38,Oxford/AstraZeneca
:mw: Malawi ^28.06.2021^,2.24,Oxford/AstraZeneca
:ng: Nigeria ^12.07.2021^,1.91,Oxford/AstraZeneca
