Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:il: Israel ^13.04.2021^,118.88,"Moderna, Pfizer/BioNTech"
:sc: Seychellen ^10.04.2021^,110.58,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ae: Vereinigte Arabische Emirate ^13.04.2021^,92.58,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:cl: Chile ^12.04.2021^,64.13,"Pfizer/BioNTech, Sinovac"
:bt: Bhutan ^13.04.2021^,61.78,Oxford/AstraZeneca
:gb: Vereinigtes Königreich ^12.04.2021^,59.08,"Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^13.04.2021^,58.14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:us: Vereinigte Staaten ^13.04.2021^,57.49,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mt: Malta ^12.04.2021^,56.48,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^10.04.2021^,52.49,Oxford/AstraZeneca
:mc: Monaco ^02.04.2021^,52.26,Pfizer/BioNTech
:sm: San Marino ^13.04.2021^,52.17,"Pfizer/BioNTech, Sputnik V"
:hu: Ungarn ^13.04.2021^,44.8,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:rs: Serbien ^10.04.2021^,42.37,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:qa: Katar ^13.04.2021^,39.28,Pfizer/BioNTech
:uy: Uruguay ^13.04.2021^,32.62,"Pfizer/BioNTech, Sinovac"
:sg: Singapur ^06.04.2021^,28.5,"Moderna, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^03.04.2021^,27.6,Oxford/AstraZeneca
:is: Island ^12.04.2021^,26.14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lt: Litauen ^13.04.2021^,25.79,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^13.04.2021^,25.33,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dm: Dominica ^01.04.2021^,25.16,Oxford/AstraZeneca
:dk: Dänemark ^12.04.2021^,24.83,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^13.04.2021^,24.4,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^13.04.2021^,23.68,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ma: Marokko ^13.04.2021^,23.44,"Oxford/AstraZeneca, Sinopharm/Beijing"
:fi: Finnland ^13.04.2021^,23.34,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^13.04.2021^,22.97,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bb: Barbados ^10.04.2021^,22.92,Oxford/AstraZeneca
:ca: Kanada ^13.04.2021^,22.79,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:tr: Türkei ^13.04.2021^,22.6,"Pfizer/BioNTech, Sinovac"
:it: Italien ^13.04.2021^,22.47,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^13.04.2021^,22.43,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ad: Andorra ^11.04.2021^,22.12,Pfizer/BioNTech
:nl: Niederlande ^11.04.2021^,22.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^12.04.2021^,22.07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sk: Slowakei ^13.04.2021^,21.98,Pfizer/BioNTech
:pt: Portugal ^13.04.2021^,21.92,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gr: Griechenland ^13.04.2021^,21.88,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^12.04.2021^,21.86,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^12.04.2021^,21.8,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
