Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:il: Israel ^20.03.2021^,111.91,"Moderna, Pfizer/BioNTech"
:sc: Seychellen ^18.03.2021^,91.67,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ae: Vereinigte Arabische Emirate ^20.03.2021^,72.61,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:mc: Monaco ^19.03.2021^,46.07,Pfizer/BioNTech
:cl: Chile ^20.03.2021^,44.28,"Pfizer/BioNTech, Sinovac"
:gb: Vereinigtes Königreich ^19.03.2021^,42.7,"Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^15.03.2021^,39.35,Oxford/AstraZeneca
:bh: Bahrain ^20.03.2021^,37.62,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:us: Vereinigte Staaten ^20.03.2021^,36.31,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:rs: Serbien ^20.03.2021^,31.8,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mt: Malta ^19.03.2021^,31.78,Pfizer/BioNTech
:ag: Antigua und Barbuda ^19.03.2021^,26.22,Oxford/AstraZeneca
:sm: San Marino ^19.03.2021^,23.35,Sputnik V
:hu: Ungarn ^20.03.2021^,21.1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:bb: Barbados ^18.03.2021^,20.26,Oxford/AstraZeneca
:dm: Dominica ^11.03.2021^,18.84,Oxford/AstraZeneca
:ma: Marokko ^20.03.2021^,18.12,"Oxford/AstraZeneca, Sinopharm/Beijing"
:qa: Katar ^16.03.2021^,17.7,Pfizer/BioNTech
:ee: Estland ^20.03.2021^,16.65,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^19.03.2021^,16.15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:tr: Türkei ^20.03.2021^,15.45,Sinovac
:is: Island ^19.03.2021^,15.42,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^20.03.2021^,14.78,Pfizer/BioNTech
:lt: Litauen ^20.03.2021^,14.69,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^20.03.2021^,14.66,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:kn: St. Kitts und Nevis ^19.03.2021^,14.25,Oxford/AstraZeneca
:no: Norwegen ^18.03.2021^,13.99,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gr: Griechenland ^20.03.2021^,13.78,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^19.03.2021^,13.76,"Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^19.03.2021^,13.76,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ch: Schweiz ^17.03.2021^,13.6,"Moderna, Pfizer/BioNTech"
:sg: Singapur ^15.03.2021^,13.54,"Moderna, Pfizer/BioNTech"
:pl: Polen ^19.03.2021^,13.17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sk: Slowakei ^19.03.2021^,13.16,Pfizer/BioNTech
:pt: Portugal ^20.03.2021^,13.0,"Moderna, Pfizer/BioNTech"
:ie: Irland ^17.03.2021^,12.95,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^18.03.2021^,12.82,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:se: Schweden ^19.03.2021^,12.81,"Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^20.03.2021^,12.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ro: Rumänien ^19.03.2021^,12.61,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^19.03.2021^,12.5,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^20.03.2021^,12.43,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^17.03.2021^,11.63,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^18.03.2021^,11.42,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^18.03.2021^,11.24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:li: Liechtenstein ^17.03.2021^,11.05,"Moderna, Pfizer/BioNTech"
:lc: St. Lucia ^19.03.2021^,11.03,Oxford/AstraZeneca
:nl: Niederlande ^14.03.2021^,11.02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^20.03.2021^,10.23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:uy: Uruguay ^20.03.2021^,8.96,"Pfizer/BioNTech, Sinovac"
:hr: Kroatien ^19.03.2021^,8.89,Pfizer/BioNTech
:sa: Saudi-Arabien ^20.03.2021^,8.62,"Oxford/AstraZeneca, Pfizer/BioNTech"
