Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:cu: Kuba ^09.11.2021^,234.72,"Abdala, Soberana02"
:ae: Vereinigte Arabische Emirate ^11.11.2021^,214.54,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:cl: Chile ^10.11.2021^,201.12,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:uy: Uruguay ^11.11.2021^,191.75,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:sg: Singapur ^11.11.2021^,185.1,"Moderna, Pfizer/BioNTech, Sinovac"
:mt: Malta ^10.11.2021^,174.05,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:il: Israel ^11.11.2021^,172.42,"Moderna, Pfizer/BioNTech"
:sc: Seychellen ^08.11.2021^,172.41,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:is: Island ^11.11.2021^,169.45,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:qa: Katar ^11.11.2021^,166.21,"Moderna, Pfizer/BioNTech"
:kh: Kambodscha ^10.11.2021^,166.12,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:cn: Volksrepublik China ^11.11.2021^,163.69,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
:bh: Bahrain ^11.11.2021^,161.15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:pt: Portugal ^08.11.2021^,160.04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^10.11.2021^,158.12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
":kr: Korea, Süd ^11.11.2021^",157.91,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^10.11.2021^,156.91,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^11.11.2021^,156.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:my: Malaysia ^11.11.2021^,154.85,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:jp: Japan ^11.11.2021^,153.65,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^10.11.2021^,152.8,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:it: Italien ^11.11.2021^,151.88,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bn: Brunei ^11.11.2021^,149.75,"Oxford/AstraZeneca, Sinopharm/Beijing"
:fr: Frankreich ^10.11.2021^,149.13,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^11.11.2021^,147.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^10.11.2021^,147.61,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bt: Bhutan ^31.10.2021^,147.22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:no: Norwegen ^10.11.2021^,146.06,"Moderna, Pfizer/BioNTech"
:se: Schweden ^11.11.2021^,146.05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^11.11.2021^,145.8,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:au: Australien ^11.11.2021^,144.97,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^10.11.2021^,141.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sm: San Marino ^31.10.2021^,139.67,"Pfizer/BioNTech, Sputnik V"
:nz: Neuseeland ^11.11.2021^,139.51,Pfizer/BioNTech
:mv: Malediven ^09.11.2021^,138.9,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:tr: Türkei ^11.11.2021^,138.79,"Pfizer/BioNTech, Sinovac"
:mu: Mauritius ^10.11.2021^,138.55,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:cy: Zypern ^08.11.2021^,137.13,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lk: Sri Lanka ^11.11.2021^,136.96,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
