Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:mt: Malta ^28.07.2021^,170.21,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ae: Vereinigte Arabische Emirate ^29.07.2021^,168.62,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sc: Seychellen ^22.07.2021^,143.82,"Oxford/AstraZeneca, Sinopharm/Beijing"
:is: Island ^23.07.2021^,137.26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:uy: Uruguay ^29.07.2021^,137.11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:nr: Nauru ^27.07.2021^,136.46,Oxford/AstraZeneca
:bh: Bahrain ^29.07.2021^,134.67,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:sm: San Marino ^28.07.2021^,133.2,"Pfizer/BioNTech, Sputnik V"
:cl: Chile ^27.07.2021^,133.1,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:qa: Katar ^29.07.2021^,130.24,"Moderna, Pfizer/BioNTech"
:ca: Kanada ^29.07.2021^,129.3,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:il: Israel ^29.07.2021^,128.72,"Moderna, Pfizer/BioNTech"
:mn: Mongolei ^28.07.2021^,125.9,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:sg: Singapur ^27.07.2021^,124.87,"Moderna, Pfizer/BioNTech, Sinovac"
:gb: Vereinigtes Königreich ^28.07.2021^,124.5,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^28.07.2021^,123.58,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:be: Belgien ^28.07.2021^,122.03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^28.07.2021^,119.16,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^29.07.2021^,117.09,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^28.07.2021^,115.97,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^25.07.2021^,115.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cn: Volksrepublik China ^29.07.2021^,112.5,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:it: Italien ^29.07.2021^,111.71,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^29.07.2021^,111.56,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^29.07.2021^,110.41,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^29.07.2021^,109.29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
