Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:mt: Malta ^17.08.2021^,178.28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ae: Vereinigte Arabische Emirate ^18.08.2021^,177.01,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:uy: Uruguay ^18.08.2021^,149.17,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:sg: Singapur ^14.08.2021^,146.1,"Moderna, Pfizer/BioNTech"
:sc: Seychellen ^09.08.2021^,145.91,"Oxford/AstraZeneca, Sinopharm/Beijing"
:qa: Katar ^18.08.2021^,145.06,"Moderna, Pfizer/BioNTech"
:il: Israel ^18.08.2021^,144.46,"Moderna, Pfizer/BioNTech"
:bh: Bahrain ^18.08.2021^,143.18,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:dk: Dänemark ^17.08.2021^,141.68,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:cl: Chile ^16.08.2021^,140.12,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:is: Island ^06.08.2021^,139.84,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^18.08.2021^,137.61,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nr: Nauru ^27.07.2021^,136.46,Oxford/AstraZeneca
:sm: San Marino ^17.08.2021^,135.74,"Pfizer/BioNTech, Sputnik V"
:be: Belgien ^17.08.2021^,135.37,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^18.08.2021^,135.25,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bt: Bhutan ^15.08.2021^,134.2,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^17.08.2021^,133.02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cn: Volksrepublik China ^18.08.2021^,132.02,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:ie: Irland ^17.08.2021^,130.77,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^17.08.2021^,130.22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mn: Mongolei ^18.08.2021^,129.79,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:nl: Niederlande ^15.08.2021^,126.39,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^18.08.2021^,123.31,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^17.08.2021^,121.16,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^17.08.2021^,120.97,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:lu: Luxemburg ^18.08.2021^,119.62,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^17.08.2021^,118.93,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ad: Andorra ^15.08.2021^,118.63,"Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^18.08.2021^,117.81,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:se: Schweden ^18.08.2021^,114.79,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^18.08.2021^,113.76,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^18.08.2021^,113.7,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mc: Monaco ^06.08.2021^,112.27,Pfizer/BioNTech
:no: Norwegen ^17.08.2021^,112.0,"Moderna, Pfizer/BioNTech"
:lt: Litauen ^18.08.2021^,109.82,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:li: Liechtenstein ^17.08.2021^,108.81,"Moderna, Pfizer/BioNTech"
:cu: Kuba ^16.08.2021^,107.93,"Abdala, Soberana02"
:ch: Schweiz ^17.08.2021^,107.48,"Moderna, Pfizer/BioNTech"
:us: Vereinigte Staaten ^18.08.2021^,107.22,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:gr: Griechenland ^18.08.2021^,106.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^18.08.2021^,103.56,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:tr: Türkei ^18.08.2021^,102.46,"Pfizer/BioNTech, Sinovac"
:mu: Mauritius ^09.08.2021^,101.99,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:kh: Kambodscha ^18.08.2021^,98.78,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:do: Dominikanische Republik ^17.08.2021^,98.61,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:sa: Saudi-Arabien ^18.08.2021^,94.62,"Oxford/AstraZeneca, Pfizer/BioNTech"
:pl: Polen ^17.08.2021^,93.88,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^18.08.2021^,92.29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:my: Malaysia ^18.08.2021^,90.74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:jp: Japan ^18.08.2021^,90.66,"Moderna, Pfizer/BioNTech"
:ec: Ecuador ^17.08.2021^,87.95,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:si: Slowenien ^18.08.2021^,87.84,"Oxford/AstraZeneca, Pfizer/BioNTech"
:sv: El Salvador ^18.08.2021^,83.52,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:fj: Fidschi ^16.08.2021^,83.13,Oxford/AstraZeneca
:pa: Panama ^17.08.2021^,83.04,"Oxford/AstraZeneca, Pfizer/BioNTech"
:rs: Serbien ^17.08.2021^,83.02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:kn: St. Kitts und Nevis ^12.08.2021^,82.95,Oxford/AstraZeneca
:ar: Argentinien ^18.08.2021^,82.38,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:sk: Slowakei ^18.08.2021^,81.33,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ma: Marokko ^18.08.2021^,79.39,"Oxford/AstraZeneca, Sinopharm/Beijing"
:br: Brasilien ^16.08.2021^,79.11,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:lk: Sri Lanka ^18.08.2021^,79.02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:hr: Kroatien ^17.08.2021^,77.52,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lv: Lettland ^18.08.2021^,76.42,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cr: Costa Rica ^16.08.2021^,75.54,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^16.08.2021^,72.95,Oxford/AstraZeneca
":kr: Korea, Süd ^18.08.2021^",66.29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bb: Barbados ^17.08.2021^,65.53,Oxford/AstraZeneca
:co: Kolumbien ^17.08.2021^,63.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
