Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:cu: Kuba ^23.10.2021^,223.82,"Abdala, Soberana02"
:ae: Vereinigte Arabische Emirate ^25.10.2021^,209.14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:uy: Uruguay ^25.10.2021^,188.29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:cl: Chile ^24.10.2021^,183.75,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:il: Israel ^25.10.2021^,180.39,"Moderna, Pfizer/BioNTech"
:sg: Singapur ^23.10.2021^,169.8,"Moderna, Pfizer/BioNTech, Sinovac"
:mt: Malta ^24.10.2021^,168.65,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sc: Seychellen ^25.10.2021^,167.03,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:is: Island ^21.10.2021^,165.36,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:qa: Katar ^25.10.2021^,164.32,"Moderna, Pfizer/BioNTech"
:kh: Kambodscha ^23.10.2021^,160.76,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:pt: Portugal ^18.10.2021^,158.97,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^25.10.2021^,157.09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:cn: Volksrepublik China ^24.10.2021^,155.53,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
:ca: Kanada ^25.10.2021^,153.07,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^24.10.2021^,152.62,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^24.10.2021^,151.93,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:my: Malaysia ^25.10.2021^,150.27,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
":kr: Korea, Süd ^25.10.2021^",147.8,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:jp: Japan ^25.10.2021^,147.54,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^25.10.2021^,147.31,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^23.10.2021^,146.68,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^24.10.2021^,144.96,"Moderna, Pfizer/BioNTech"
:fr: Frankreich ^21.10.2021^,144.88,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^24.10.2021^,144.55,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^25.10.2021^,144.39,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bt: Bhutan ^18.10.2021^,141.49,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:se: Schweden ^22.10.2021^,141.09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^24.10.2021^,139.69,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sm: San Marino ^10.10.2021^,139.08,"Pfizer/BioNTech, Sputnik V"
:nl: Niederlande ^20.10.2021^,139.08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^21.10.2021^,137.54,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:nr: Nauru ^31.08.2021^,136.7,Oxford/AstraZeneca
:nz: Neuseeland ^25.10.2021^,136.49,Pfizer/BioNTech
:tr: Türkei ^25.10.2021^,135.79,"Pfizer/BioNTech, Sinovac"
:mu: Mauritius ^21.10.2021^,135.52,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:cy: Zypern ^20.10.2021^,134.3,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:au: Australien ^25.10.2021^,134.17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bn: Brunei ^22.10.2021^,133.22,"Oxford/AstraZeneca, Sinopharm/Beijing"
:de: Deutschland ^25.10.2021^,132.24,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mn: Mongolei ^24.10.2021^,131.93,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:ad: Andorra ^26.09.2021^,131.9,"Oxford/AstraZeneca, Pfizer/BioNTech"
:lk: Sri Lanka ^25.10.2021^,130.92,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:fj: Fidschi ^25.10.2021^,129.15,Oxford/AstraZeneca
:sv: El Salvador ^21.10.2021^,129.04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:sa: Saudi-Arabien ^25.10.2021^,128.33,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ar: Argentinien ^25.10.2021^,127.46,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:lu: Luxemburg ^16.10.2021^,126.99,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mc: Monaco ^16.09.2021^,126.47,Pfizer/BioNTech
:li: Liechtenstein ^24.10.2021^,126.24,"Moderna, Pfizer/BioNTech"
:at: Österreich ^25.10.2021^,126.01,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ch: Schweiz ^24.10.2021^,125.96,"Moderna, Pfizer/BioNTech"
:br: Brasilien ^24.10.2021^,125.77,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:lt: Litauen ^25.10.2021^,124.83,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:tm: Turkmenistan ^29.08.2021^,123.91,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:pa: Panama ^25.10.2021^,123.45,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ma: Marokko ^24.10.2021^,123.43,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:us: Vereinigte Staaten ^25.10.2021^,123.19,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:gr: Griechenland ^25.10.2021^,121.34,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ec: Ecuador ^19.10.2021^,120.15,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:do: Dominikanische Republik ^24.10.2021^,119.19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:cr: Costa Rica ^18.10.2021^,119.17,"Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^25.10.2021^,111.64,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^25.10.2021^,110.5,"Oxford/AstraZeneca, Pfizer/BioNTech"
:om: Oman ^23.10.2021^,108.74,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:ee: Estland ^25.10.2021^,106.98,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^23.10.2021^,105.85,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
:pl: Polen ^24.10.2021^,102.2,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
