Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:ae: Vereinigte Arabische Emirate ^26.06.2021^,152.1,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:mt: Malta ^25.06.2021^,147.31,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sc: Seychellen ^24.06.2021^,140.31,"Oxford/AstraZeneca, Sinopharm/Beijing"
:sm: San Marino ^23.06.2021^,130.79,"Pfizer/BioNTech, Sputnik V"
:il: Israel ^26.06.2021^,123.56,"Moderna, Pfizer/BioNTech"
:bh: Bahrain ^26.06.2021^,118.67,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:cl: Chile ^25.06.2021^,117.4,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:is: Island ^25.06.2021^,113.32,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^25.06.2021^,112.43,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mn: Mongolei ^25.06.2021^,112.02,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:uy: Uruguay ^24.06.2021^,107.14,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:qa: Katar ^26.06.2021^,104.43,"Moderna, Pfizer/BioNTech"
:us: Vereinigte Staaten ^26.06.2021^,96.32,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mc: Monaco ^24.06.2021^,93.29,Pfizer/BioNTech
:ca: Kanada ^26.06.2021^,93.09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^24.06.2021^,92.97,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:be: Belgien ^26.06.2021^,90.54,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^24.06.2021^,88.82,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^21.06.2021^,85.96,"Moderna, Pfizer/BioNTech"
:de: Deutschland ^25.06.2021^,85.26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^26.06.2021^,83.59,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^24.06.2021^,83.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^26.06.2021^,82.55,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^25.06.2021^,81.89,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ad: Andorra ^21.06.2021^,81.88,"Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^26.06.2021^,81.83,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lt: Litauen ^26.06.2021^,81.14,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cn: Volksrepublik China ^26.06.2021^,80.96,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:ch: Schweiz ^23.06.2021^,80.68,"Moderna, Pfizer/BioNTech"
:li: Liechtenstein ^23.06.2021^,80.12,"Moderna, Pfizer/BioNTech"
:pt: Portugal ^26.06.2021^,79.49,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gr: Griechenland ^26.06.2021^,77.02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^26.06.2021^,75.82,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:rs: Serbien ^20.06.2021^,75.63,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:fr: Frankreich ^24.06.2021^,75.47,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pl: Polen ^26.06.2021^,74.92,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^20.06.2021^,74.52,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^26.06.2021^,73.35,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:kw: Kuwait ^20.06.2021^,72.59,Pfizer/BioNTech
:no: Norwegen ^24.06.2021^,72.09,"Moderna, Pfizer/BioNTech"
:se: Schweden ^24.06.2021^,71.58,"Oxford/AstraZeneca, Pfizer/BioNTech"
:kn: St. Kitts und Nevis ^22.06.2021^,71.45,Oxford/AstraZeneca
:si: Slowenien ^26.06.2021^,70.16,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^26.06.2021^,69.86,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:do: Dominikanische Republik ^25.06.2021^,69.56,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:nr: Nauru ^21.06.2021^,69.1,Oxford/AstraZeneca
:ag: Antigua und Barbuda ^22.06.2021^,65.1,Oxford/AstraZeneca
:bt: Bhutan ^20.06.2021^,62.82,"Oxford/AstraZeneca, Pfizer/BioNTech"
:sk: Slowakei ^23.06.2021^,62.26,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:hr: Kroatien ^25.06.2021^,60.97,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lv: Lettland ^26.06.2021^,58.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bb: Barbados ^24.06.2021^,56.5,Oxford/AstraZeneca
:tr: Türkei ^26.06.2021^,55.82,"Pfizer/BioNTech, Sinovac"
:mu: Mauritius ^24.06.2021^,55.59,"BBIBP-CorV, Covaxin, Oxford/AstraZeneca"
:dm: Dominica ^25.06.2021^,54.6,"BBIBP-CorV, Oxford/AstraZeneca"
:ma: Marokko ^26.06.2021^,50.51,"Oxford/AstraZeneca, Sinopharm/Beijing"
:sa: Saudi-Arabien ^26.06.2021^,49.45,"Oxford/AstraZeneca, Pfizer/BioNTech"
:cu: Kuba ^24.06.2021^,47.04,"Abdala, Soberana02"
:ro: Rumänien ^25.06.2021^,46.04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cr: Costa Rica ^22.06.2021^,45.76,"Oxford/AstraZeneca, Pfizer/BioNTech"
:me: Montenegro ^26.06.2021^,45.39,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:br: Brasilien ^24.06.2021^,43.71,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:ar: Argentinien ^26.06.2021^,43.14,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:gy: Guyana ^25.06.2021^,42.6,"Oxford/AstraZeneca, Sputnik V"
:sv: El Salvador ^25.06.2021^,41.24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:tv: Tuvalu ^15.06.2021^,40.47,Oxford/AstraZeneca
:kh: Kambodscha ^25.06.2021^,39.57,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
":kr: Korea, Süd ^26.06.2021^",36.68,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pa: Panama ^24.06.2021^,34.05,"Oxford/AstraZeneca, Pfizer/BioNTech"
:jo: Jordanien ^26.06.2021^,33.72,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mx: Mexiko ^25.06.2021^,33.64,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:co: Kolumbien ^25.06.2021^,32.81,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:az: Aserbaidschan ^26.06.2021^,32.49,"Oxford/AstraZeneca, Sinovac, Sputnik V"
:al: Albanien ^24.06.2021^,32.07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:sr: Suriname ^25.06.2021^,31.93,Oxford/AstraZeneca
:fj: Fidschi ^21.06.2021^,30.57,Oxford/AstraZeneca
:jp: Japan ^24.06.2021^,29.42,"Moderna, Pfizer/BioNTech"
:au: Australien ^26.06.2021^,28.46,"Oxford/AstraZeneca, Pfizer/BioNTech"
:to: Tonga ^01.06.2021^,28.36,Oxford/AstraZeneca
:lc: St. Lucia ^25.06.2021^,28.33,Oxford/AstraZeneca
:bz: Belize ^23.06.2021^,26.66,"Oxford/AstraZeneca, Sinopharm/Beijing"
:kz: Kasachstan ^26.06.2021^,26.37,"QazVac, Sinopharm/HayatVax, Sputnik V"
:ru: Russland ^26.06.2021^,26.11,"EpiVacCorona, Sputnik V"
:gd: Grenada ^18.06.2021^,25.91,Oxford/AstraZeneca
:bg: Bulgarien ^26.06.2021^,24.82,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mk: Nordmazedonien ^24.06.2021^,24.07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
:in: Indien ^26.06.2021^,22.81,"Covaxin, Oxford/AstraZeneca"
:ws: Samoa ^21.06.2021^,22.77,Oxford/AstraZeneca
:ec: Ecuador ^25.06.2021^,22.36,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:vc: St. Vincent und die Grenadinen ^26.06.2021^,22.23,Oxford/AstraZeneca
:my: Malaysia ^25.06.2021^,21.75,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:pe: Peru ^25.06.2021^,21.24,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:nz: Neuseeland ^22.06.2021^,21.14,Pfizer/BioNTech
:bs: Bahamas ^19.06.2021^,20.15,Oxford/AstraZeneca
:la: Laos ^26.06.2021^,19.36,"Sinopharm/Beijing, Sputnik V"
:tt: Trinidad und Tobago ^26.06.2021^,19.14,Oxford/AstraZeneca
:bo: Bolivien ^21.06.2021^,19.12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:gq: Äquatorialguinea ^25.06.2021^,18.57,Sinopharm/Beijing
:lb: Libanon ^26.06.2021^,18.27,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:bn: Brunei ^26.06.2021^,17.48,"Oxford/AstraZeneca, Sinopharm/Beijing"
:md: Moldau ^26.06.2021^,17.06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:om: Oman ^20.06.2021^,16.82,"Oxford/AstraZeneca, Pfizer/BioNTech"
:lk: Sri Lanka ^24.06.2021^,15.72,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:tl: Osttimor ^22.06.2021^,14.36,"Oxford/AstraZeneca, Sinovac"
:id: Indonesien ^26.06.2021^,14.28,"Oxford/AstraZeneca, Sinovac"
:tn: Tunesien ^24.06.2021^,14.26,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:cv: Kap Verde ^24.06.2021^,13.37,"Oxford/AstraZeneca, Pfizer/BioNTech"
:th: Thailand ^25.06.2021^,12.87,"Oxford/AstraZeneca, Sinovac"
:np: Nepal ^26.06.2021^,11.44,"Oxford/AstraZeneca, Sinopharm/Beijing"
:st: São Tomé und Príncipe ^24.06.2021^,11.37,Oxford/AstraZeneca
:by: Belarus ^13.06.2021^,11.31,"BBIBP-CorV, Sputnik V"
:km: Komoren ^08.06.2021^,9.7,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:ba: Bosnien und Herzegowina ^13.06.2021^,9.63,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:ph: Philippinen ^25.06.2021^,8.71,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
