Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:sc: Seychellen ^29.04.2021^,128.98,"Oxford/AstraZeneca, Sinopharm/Beijing"
:il: Israel ^03.05.2021^,120.93,"Moderna, Pfizer/BioNTech"
:ae: Vereinigte Arabische Emirate ^03.05.2021^,107.85,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sm: San Marino ^02.05.2021^,88.22,"Pfizer/BioNTech, Sputnik V"
:cl: Chile ^02.05.2021^,77.68,"Pfizer/BioNTech, Sinovac"
:mt: Malta ^02.05.2021^,77.44,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^03.05.2021^,75.42,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mv: Malediven ^01.05.2021^,73.92,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:us: Vereinigte Staaten ^03.05.2021^,73.79,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^02.05.2021^,73.78,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:hu: Ungarn ^02.05.2021^,63.67,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:bt: Bhutan ^01.05.2021^,62.27,Oxford/AstraZeneca
:mc: Monaco ^22.04.2021^,62.15,Pfizer/BioNTech
:qa: Katar ^03.05.2021^,56.76,Pfizer/BioNTech
:uy: Uruguay ^03.05.2021^,53.78,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:rs: Serbien ^02.05.2021^,51.83,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mn: Mongolei ^03.05.2021^,46.75,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:is: Island ^03.05.2021^,42.82,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dm: Dominica ^28.04.2021^,38.65,Oxford/AstraZeneca
:sg: Singapur ^18.04.2021^,37.84,"Moderna, Pfizer/BioNTech"
:ca: Kanada ^03.05.2021^,37.23,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lt: Litauen ^03.05.2021^,37.18,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ad: Andorra ^26.04.2021^,36.89,"Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^02.05.2021^,36.64,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^02.05.2021^,35.98,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^03.05.2021^,35.81,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^03.05.2021^,35.48,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^02.05.2021^,35.18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^03.05.2021^,35.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^03.05.2021^,34.4,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^03.05.2021^,33.76,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^03.05.2021^,33.69,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^02.05.2021^,32.89,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:se: Schweden ^30.04.2021^,32.35,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^01.05.2021^,32.24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^02.05.2021^,32.12,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:li: Liechtenstein ^28.04.2021^,32.04,"Moderna, Pfizer/BioNTech"
:lu: Luxemburg ^02.05.2021^,32.04,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pl: Polen ^03.05.2021^,31.7,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^03.05.2021^,31.16,"Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^28.04.2021^,30.73,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^03.05.2021^,30.55,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ch: Schweiz ^28.04.2021^,30.39,"Moderna, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^22.04.2021^,30.38,Oxford/AstraZeneca
:sk: Slowakei ^03.05.2021^,30.28,Pfizer/BioNTech
:gr: Griechenland ^03.05.2021^,30.09,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
