Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:mt: Malta ^02.08.2021^,172.77,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ae: Vereinigte Arabische Emirate ^03.08.2021^,170.72,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sc: Seychellen ^22.07.2021^,143.82,"Oxford/AstraZeneca, Sinopharm/Beijing"
:uy: Uruguay ^03.08.2021^,138.93,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:is: Island ^30.07.2021^,137.84,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^03.08.2021^,137.2,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:nr: Nauru ^27.07.2021^,136.46,Oxford/AstraZeneca
:sm: San Marino ^29.07.2021^,134.31,"Pfizer/BioNTech, Sputnik V"
:cl: Chile ^31.07.2021^,134.18,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:qa: Katar ^03.08.2021^,133.95,"Moderna, Pfizer/BioNTech"
:ca: Kanada ^03.08.2021^,131.85,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^02.08.2021^,131.68,"Moderna, Pfizer/BioNTech"
:il: Israel ^03.08.2021^,129.12,"Moderna, Pfizer/BioNTech"
:dk: Dänemark ^02.08.2021^,128.4,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mn: Mongolei ^03.08.2021^,127.29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:be: Belgien ^02.08.2021^,126.65,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^02.08.2021^,125.93,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bt: Bhutan ^30.07.2021^,124.85,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^02.08.2021^,122.22,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^03.08.2021^,120.9,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^02.08.2021^,119.55,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cn: Volksrepublik China ^03.08.2021^,118.69,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:nl: Niederlande ^25.07.2021^,115.27,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^03.08.2021^,115.22,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^03.08.2021^,114.25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^02.08.2021^,111.98,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^02.08.2021^,111.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:de: Deutschland ^02.08.2021^,110.64,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^02.08.2021^,110.47,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^02.08.2021^,108.23,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ad: Andorra ^19.07.2021^,106.58,"Oxford/AstraZeneca, Pfizer/BioNTech"
:se: Schweden ^03.08.2021^,105.95,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ch: Schweiz ^02.08.2021^,104.07,"Moderna, Pfizer/BioNTech"
:us: Vereinigte Staaten ^03.08.2021^,103.87,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mc: Monaco ^22.07.2021^,103.53,Pfizer/BioNTech
:li: Liechtenstein ^02.08.2021^,102.8,"Moderna, Pfizer/BioNTech"
:fi: Finnland ^03.08.2021^,102.18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gr: Griechenland ^03.08.2021^,102.03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^02.08.2021^,100.09,"Moderna, Pfizer/BioNTech"
:lt: Litauen ^03.08.2021^,98.89,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^03.08.2021^,97.77,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mu: Mauritius ^03.08.2021^,97.32,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
