Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:sc: Seychellen ^03.05.2021^,129.88,"Oxford/AstraZeneca, Sinopharm/Beijing"
:il: Israel ^09.05.2021^,121.32,"Moderna, Pfizer/BioNTech"
:ae: Vereinigte Arabische Emirate ^09.05.2021^,112.69,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sm: San Marino ^07.05.2021^,100.22,"Pfizer/BioNTech, Sputnik V"
:cl: Chile ^08.05.2021^,82.15,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:mt: Malta ^05.05.2021^,81.4,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^09.05.2021^,80.86,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mv: Malediven ^08.05.2021^,79.88,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:gb: Vereinigtes Königreich ^08.05.2021^,78.13,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:us: Vereinigte Staaten ^09.05.2021^,77.66,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:hu: Ungarn ^09.05.2021^,70.49,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mn: Mongolei ^09.05.2021^,67.52,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:qa: Katar ^09.05.2021^,62.94,Pfizer/BioNTech
:bt: Bhutan ^08.05.2021^,62.4,Oxford/AstraZeneca
:mc: Monaco ^22.04.2021^,62.15,Pfizer/BioNTech
:uy: Uruguay ^09.05.2021^,57.73,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:rs: Serbien ^09.05.2021^,55.83,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:is: Island ^07.05.2021^,54.01,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dm: Dominica ^07.05.2021^,44.46,Oxford/AstraZeneca
:lt: Litauen ^09.05.2021^,42.69,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^09.05.2021^,42.17,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^07.05.2021^,41.07,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^06.05.2021^,40.74,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^08.05.2021^,40.39,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^09.05.2021^,40.34,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
