Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:cu: Kuba ^01.01.2022^,272.93,"Abdala, Soberana02"
:cl: Chile ^02.01.2022^,230.61,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:ae: Vereinigte Arabische Emirate ^03.01.2022^,226.97,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:dk: Dänemark ^02.01.2022^,209.74,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:is: Island ^30.12.2021^,208.8,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mt: Malta ^02.01.2022^,208.49,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
":kr: Korea, Süd ^03.01.2022^",203.33,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:uy: Uruguay ^03.01.2022^,200.09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:cn: Volksrepublik China ^03.01.2022^,197.7,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
:gb: Vereinigtes Königreich ^02.01.2022^,195.67,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^02.01.2022^,194.29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^03.01.2022^,190.72,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^02.01.2022^,186.06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^03.01.2022^,185.82,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sc: Seychellen ^28.12.2021^,185.49,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:bh: Bahrain ^03.01.2022^,185.45,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:fr: Frankreich ^02.01.2022^,183.25,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^03.01.2022^,182.4,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:il: Israel ^03.01.2022^,180.77,"Moderna, Pfizer/BioNTech"
:ca: Kanada ^03.01.2022^,180.64,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:kh: Kambodscha ^02.01.2022^,179.82,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:bn: Brunei ^14.12.2021^,179.04,"Oxford/AstraZeneca, Sinopharm/Beijing"
:no: Norwegen ^02.01.2022^,178.53,"Moderna, Pfizer/BioNTech"
:de: Deutschland ^02.01.2022^,178.39,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:qa: Katar ^03.01.2022^,178.26,"Moderna, Pfizer/BioNTech"
:my: Malaysia ^03.01.2022^,177.13,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:sg: Singapur ^18.12.2021^,175.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:fi: Finnland ^03.01.2022^,174.94,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:se: Schweden ^30.12.2021^,173.25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^23.12.2021^,172.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^02.01.2022^,169.62,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ar: Argentinien ^02.01.2022^,168.31,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:gr: Griechenland ^03.01.2022^,167.99,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:au: Australien ^03.01.2022^,166.02,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:li: Liechtenstein ^02.01.2022^,164.68,"Moderna, Pfizer/BioNTech"
:mn: Mongolei ^02.01.2022^,160.64,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:kw: Kuwait ^28.12.2021^,160.39,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:mu: Mauritius ^30.12.2021^,160.07,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:nz: Neuseeland ^03.01.2022^,159.98,"Oxford/AstraZeneca, Pfizer/BioNTech"
:jp: Japan ^03.01.2022^,159.67,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ch: Schweiz ^02.01.2022^,158.86,"Moderna, Pfizer/BioNTech"
:sm: San Marino ^19.12.2021^,158.61,"Pfizer/BioNTech, Sputnik V"
:nl: Niederlande ^25.12.2021^,157.96,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lk: Sri Lanka ^03.01.2022^,157.78,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:vn: Vietnam ^02.01.2022^,156.46,"Abdala, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:tr: Türkei ^03.01.2022^,156.27,"Pfizer/BioNTech, Sinovac"
:br: Brasilien ^03.01.2022^,155.18,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:lt: Litauen ^03.01.2022^,154.22,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:us: Vereinigte Staaten ^30.12.2021^,152.9,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:ec: Ecuador ^27.12.2021^,152.64,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:cr: Costa Rica ^27.12.2021^,150.93,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ad: Andorra ^12.12.2021^,149.58,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pe: Peru ^01.01.2022^,149.37,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:bt: Bhutan ^20.12.2021^,148.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:sv: El Salvador ^30.12.2021^,147.59,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:th: Thailand ^27.12.2021^,146.79,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:sa: Saudi-Arabien ^03.01.2022^,145.71,"Oxford/AstraZeneca, Pfizer/BioNTech"
:mv: Malediven ^29.12.2021^,145.35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:cz: Tschechien ^03.01.2022^,145.06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fj: Fidschi ^20.12.2021^,140.33,Oxford/AstraZeneca
:si: Slowenien ^03.01.2022^,140.11,"Oxford/AstraZeneca, Pfizer/BioNTech"
:lv: Lettland ^03.01.2022^,137.03,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:nr: Nauru ^31.08.2021^,136.7,Oxford/AstraZeneca
:ir: Iran ^26.12.2021^,136.67,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Soberana02, Sputnik V"
:ma: Marokko ^27.12.2021^,134.6,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:pa: Panama ^02.01.2022^,134.56,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ws: Samoa ^20.12.2021^,131.5,Oxford/AstraZeneca
:do: Dominikanische Republik ^02.01.2022^,128.62,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:mc: Monaco ^16.09.2021^,126.47,Pfizer/BioNTech
:co: Kolumbien ^31.12.2021^,126.19,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:pl: Polen ^02.01.2022^,124.36,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:tm: Turkmenistan ^29.08.2021^,123.91,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:ag: Antigua und Barbuda ^29.12.2021^,122.71,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
:to: Tonga ^20.12.2021^,121.99,Oxford/AstraZeneca
:rs: Serbien ^01.01.2022^,120.23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:ni: Nicaragua ^29.12.2021^,116.15,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V"
:hr: Kroatien ^02.01.2022^,115.93,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:om: Oman ^19.12.2021^,115.75,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:uz: Usbekistan ^30.12.2021^,115.03,"Moderna, Oxford/AstraZeneca, Sputnik V, ZF2001"
:ee: Estland ^03.01.2022^,114.64,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:mx: Mexiko ^01.01.2022^,114.34,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:sk: Slowakei ^31.12.2021^,112.37,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
:az: Aserbaidschan ^03.01.2022^,110.98,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
:in: Indien ^03.01.2022^,105.1,"Covaxin, Oxford/AstraZeneca, Sputnik V"
:bz: Belize ^23.12.2021^,104.87,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:ve: Venezuela ^17.12.2021^,104.68,"Abdala, Sinopharm/Beijing, Sinovac, Sputnik V"
:bb: Barbados ^01.01.2022^,104.19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:kn: St. Kitts und Nevis ^29.12.2021^,102.47,"Oxford/AstraZeneca, Pfizer/BioNTech"
:tn: Tunesien ^02.01.2022^,102.26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
:id: Indonesien ^03.01.2022^,101.76,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:cv: Kap Verde ^17.12.2021^,101.64,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:tv: Tuvalu ^22.10.2021^,101.58,Oxford/AstraZeneca
:me: Montenegro ^03.01.2022^,101.22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:ru: Russland ^03.01.2022^,100.56,"EpiVacCorona, Sputnik V"
:tt: Trinidad und Tobago ^03.01.2022^,100.42,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:rw: Ruanda ^30.12.2021^,98.92,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
:ph: Philippinen ^30.12.2021^,97.74,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
:hn: Honduras ^29.12.2021^,95.29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
:py: Paraguay ^29.12.2021^,94.65,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
:kz: Kasachstan ^03.01.2022^,92.26,"QazVac, Sinopharm/Beijing, Sputnik V"
:bw: Botswana ^30.12.2021^,91.69,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:gy: Guyana ^01.01.2022^,90.88,"Oxford/AstraZeneca, Sputnik V"
:tl: Osttimor ^21.12.2021^,89.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:bo: Bolivien ^03.01.2022^,84.35,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
