Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:ae: Vereinigte Arabische Emirate ^02.07.2021^,155.99,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:mt: Malta ^01.07.2021^,152.88,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sc: Seychellen ^30.06.2021^,140.92,"Oxford/AstraZeneca, Sinopharm/Beijing"
:sm: San Marino ^30.06.2021^,131.17,"Pfizer/BioNTech, Sputnik V"
:is: Island ^02.07.2021^,127.58,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^02.07.2021^,125.4,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:il: Israel ^02.07.2021^,124.77,"Moderna, Pfizer/BioNTech"
:cl: Chile ^30.06.2021^,119.99,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:uy: Uruguay ^02.07.2021^,116.36,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:mn: Mongolei ^02.07.2021^,116.22,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:gb: Vereinigtes Königreich ^01.07.2021^,115.27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:qa: Katar ^02.07.2021^,111.46,"Moderna, Pfizer/BioNTech"
:ca: Kanada ^02.07.2021^,101.79,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:us: Vereinigte Staaten ^02.07.2021^,98.32,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mc: Monaco ^01.07.2021^,96.5,Pfizer/BioNTech
:be: Belgien ^01.07.2021^,95.44,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^02.07.2021^,94.89,"Moderna, Pfizer/BioNTech, Sinovac"
:mv: Malediven ^30.06.2021^,93.93,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:cy: Zypern ^02.07.2021^,93.44,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^02.07.2021^,93.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^01.07.2021^,91.53,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
