Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:il: Israel ^14.02.2021^,74.43,"Moderna, Pfizer/BioNTech"
:sc: Seychellen ^11.02.2021^,52.69,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ae: Vereinigte Arabische Emirate ^14.02.2021^,51.11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:gb: Vereinigtes Königreich ^13.02.2021^,22.98,"Oxford/AstraZeneca, Pfizer/BioNTech"
:us: Vereinigte Staaten ^14.02.2021^,15.81,"Moderna, Pfizer/BioNTech"
:bh: Bahrain ^14.02.2021^,14.62,"Pfizer/BioNTech, Sinopharm/Beijing"
:rs: Serbien ^13.02.2021^,13.97,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mt: Malta ^13.02.2021^,11.36,Pfizer/BioNTech
:cl: Chile ^14.02.2021^,9.94,"Pfizer/BioNTech, Sinovac"
:mv: Malediven ^14.02.2021^,7.14,Oxford/AstraZeneca
:dk: Dänemark ^14.02.2021^,6.87,"Moderna, Pfizer/BioNTech"
:cy: Zypern ^11.02.2021^,6.36,Pfizer/BioNTech
:mc: Monaco ^18.01.2021^,6.12,Pfizer/BioNTech
:ro: Rumänien ^14.02.2021^,5.79,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:is: Island ^12.02.2021^,5.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^13.02.2021^,5.7,"Oxford/AstraZeneca, Pfizer/BioNTech"
:lt: Litauen ^13.02.2021^,5.6,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pl: Polen ^13.02.2021^,5.57,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ch: Schweiz ^10.02.2021^,5.56,"Moderna, Pfizer/BioNTech"
:sk: Slowakei ^14.02.2021^,5.46,Pfizer/BioNTech
:no: Norwegen ^11.02.2021^,5.31,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^11.02.2021^,5.29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^11.02.2021^,5.18,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^14.02.2021^,5.16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^14.02.2021^,5.13,"Moderna, Pfizer/BioNTech"
:gr: Griechenland ^13.02.2021^,5.05,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^14.02.2021^,4.99,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^14.02.2021^,4.95,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^14.02.2021^,4.94,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:hu: Ungarn ^13.02.2021^,4.8,Pfizer/BioNTech
:be: Belgien ^13.02.2021^,4.76,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:tr: Türkei ^14.02.2021^,4.54,Sinovac
:se: Schweden ^12.02.2021^,4.53,"Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^10.02.2021^,4.38,Pfizer/BioNTech
:fr: Frankreich ^13.02.2021^,4.25,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^14.02.2021^,4.21,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^14.02.2021^,4.15,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ma: Marokko ^13.02.2021^,3.76,"Oxford/AstraZeneca, Sinopharm/Beijing"
:lu: Luxemburg ^11.02.2021^,3.42,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^14.02.2021^,3.37,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^12.02.2021^,3.24,"Moderna, Pfizer/BioNTech"
:cn: Volksrepublik China ^09.02.2021^,2.82,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:hr: Kroatien ^11.02.2021^,2.75,Pfizer/BioNTech
:li: Liechtenstein ^10.02.2021^,2.67,"Moderna, Pfizer/BioNTech"
:ru: Russland ^10.02.2021^,2.67,Sputnik V
:br: Brasilien ^14.02.2021^,2.46,"Oxford/AstraZeneca, Sinovac"
:lv: Lettland ^14.02.2021^,1.96,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:om: Oman ^14.02.2021^,1.75,"Oxford/AstraZeneca, Pfizer/BioNTech"
:qa: Katar ^28.01.2021^,1.74,Pfizer/BioNTech
:ad: Andorra ^10.02.2021^,1.67,Pfizer/BioNTech
:cr: Costa Rica ^08.02.2021^,1.47,Pfizer/BioNTech
:ar: Argentinien ^14.02.2021^,1.35,Sputnik V
:sa: Saudi-Arabien ^14.02.2021^,1.28,Pfizer/BioNTech
:bg: Bulgarien ^14.02.2021^,1.08,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lk: Sri Lanka ^14.02.2021^,0.88,Oxford/AstraZeneca
:kw: Kuwait ^26.01.2021^,0.82,Pfizer/BioNTech
