Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:cu: Kuba ^23.01.2022^,298.01,"Abdala, Soberana02"
:cl: Chile ^24.01.2022^,240.82,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:ae: Vereinigte Arabische Emirate ^25.01.2022^,233.62,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sg: Singapur ^24.01.2022^,232.59,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:mt: Malta ^24.01.2022^,232.16,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^24.01.2022^,224.01,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
":kr: Korea, Süd ^25.01.2022^",219.76,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bn: Brunei ^14.01.2022^,214.29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:uy: Uruguay ^25.01.2022^,210.46,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:is: Island ^25.01.2022^,208.37,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^25.01.2022^,207.48,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^25.01.2022^,207.11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ie: Irland ^24.01.2022^,206.58,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cn: Volksrepublik China ^25.01.2022^,206.25,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
:be: Belgien ^24.01.2022^,205.1,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^24.01.2022^,201.55,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^25.01.2022^,201.19,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^24.01.2022^,200.13,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^24.01.2022^,197.96,"Moderna, Pfizer/BioNTech"
:de: Deutschland ^24.01.2022^,193.73,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
