Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:cu: Kuba ^11.01.2022^,282.53,"Abdala, Soberana02"
:cl: Chile ^11.01.2022^,235.92,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:ae: Vereinigte Arabische Emirate ^13.01.2022^,229.93,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:mt: Malta ^12.01.2022^,223.4,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^10.01.2022^,222.47,"Moderna, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:dk: Dänemark ^12.01.2022^,218.58,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
":kr: Korea, Süd ^13.01.2022^",211.99,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:uy: Uruguay ^13.01.2022^,203.93,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:bn: Brunei ^31.12.2021^,203.47,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:cn: Volksrepublik China ^13.01.2022^,202.44,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001"
:ie: Irland ^12.01.2022^,201.47,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:is: Island ^13.01.2022^,201.35,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gb: Vereinigtes Königreich ^12.01.2022^,199.27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^13.01.2022^,198.31,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^12.01.2022^,196.73,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^13.01.2022^,196.11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^12.01.2022^,193.17,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^13.01.2022^,191.65,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:no: Norwegen ^12.01.2022^,188.99,"Moderna, Pfizer/BioNTech"
:il: Israel ^13.01.2022^,188.98,"Moderna, Pfizer/BioNTech"
:bh: Bahrain ^13.01.2022^,188.57,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:at: Österreich ^13.01.2022^,187.71,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^13.01.2022^,187.28,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sc: Seychellen ^28.12.2021^,185.49,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:es: Spanien ^12.01.2022^,184.67,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^12.01.2022^,184.29,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:kh: Kambodscha ^12.01.2022^,184.22,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:my: Malaysia ^13.01.2022^,184.01,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
:qa: Katar ^12.01.2022^,183.32,"Moderna, Pfizer/BioNTech"
:nl: Niederlande ^08.01.2022^,182.5,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
