Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:il: Israel ^14.04.2021^,118.98,"Moderna, Pfizer/BioNTech"
:sc: Seychellen ^13.04.2021^,114.09,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ae: Vereinigte Arabische Emirate ^14.04.2021^,93.98,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:cl: Chile ^13.04.2021^,65.37,"Pfizer/BioNTech, Sinovac"
:bt: Bhutan ^14.04.2021^,61.83,Oxford/AstraZeneca
:gb: Vereinigtes Königreich ^13.04.2021^,59.65,"Oxford/AstraZeneca, Pfizer/BioNTech"
:bh: Bahrain ^14.04.2021^,59.28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:us: Vereinigte Staaten ^14.04.2021^,58.24,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mt: Malta ^13.04.2021^,57.73,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sm: San Marino ^13.04.2021^,55.5,"Pfizer/BioNTech, Sputnik V"
:mv: Malediven ^12.04.2021^,55.32,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:mc: Monaco ^02.04.2021^,52.26,Pfizer/BioNTech
:hu: Ungarn ^14.04.2021^,45.72,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:rs: Serbien ^14.04.2021^,43.83,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:qa: Katar ^14.04.2021^,40.24,Pfizer/BioNTech
:uy: Uruguay ^14.04.2021^,34.21,"Pfizer/BioNTech, Sinovac"
:sg: Singapur ^06.04.2021^,28.5,"Moderna, Pfizer/BioNTech"
:is: Island ^14.04.2021^,27.97,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^03.04.2021^,27.6,Oxford/AstraZeneca
:lt: Litauen ^14.04.2021^,26.74,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^14.04.2021^,25.55,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^13.04.2021^,25.27,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dm: Dominica ^01.04.2021^,25.16,Oxford/AstraZeneca
:ad: Andorra ^12.04.2021^,24.67,"Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^14.04.2021^,24.46,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^13.04.2021^,24.4,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ca: Kanada ^14.04.2021^,23.58,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
