Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:sc: Seychellen ^02.06.2021^,138.83,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ae: Vereinigte Arabische Emirate ^06.06.2021^,134.63,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sm: San Marino ^03.06.2021^,126.51,"Pfizer/BioNTech, Sputnik V"
:mt: Malta ^05.06.2021^,124.9,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:il: Israel ^06.06.2021^,122.45,"Moderna, Pfizer/BioNTech"
:bh: Bahrain ^06.06.2021^,107.34,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mn: Mongolei ^06.06.2021^,103.64,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:cl: Chile ^05.06.2021^,101.81,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:gb: Vereinigtes Königreich ^05.06.2021^,100.16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:hu: Ungarn ^05.06.2021^,95.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:qa: Katar ^06.06.2021^,92.89,"Moderna, Pfizer/BioNTech"
:us: Vereinigte Staaten ^06.06.2021^,90.19,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mv: Malediven ^04.06.2021^,89.29,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:uy: Uruguay ^06.06.2021^,86.72,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:mc: Monaco ^03.06.2021^,80.97,Pfizer/BioNTech
:is: Island ^04.06.2021^,80.13,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^06.06.2021^,74.1,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:kn: St. Kitts und Nevis ^05.06.2021^,71.8,Oxford/AstraZeneca
:rs: Serbien ^05.06.2021^,70.11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:sg: Singapur ^31.05.2021^,69.19,"Moderna, Pfizer/BioNTech"
:ca: Kanada ^06.06.2021^,69.14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nr: Nauru ^18.05.2021^,68.23,Oxford/AstraZeneca
:lt: Litauen ^06.06.2021^,66.1,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^04.06.2021^,64.74,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^05.06.2021^,64.37,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^05.06.2021^,64.14,"Moderna, Pfizer/BioNTech"
:it: Italien ^06.06.2021^,63.15,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bt: Bhutan ^27.05.2021^,62.56,Oxford/AstraZeneca
:at: Österreich ^06.06.2021^,62.55,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^03.06.2021^,61.5,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^06.06.2021^,61.08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:li: Liechtenstein ^02.06.2021^,60.16,"Moderna, Pfizer/BioNTech"
:lu: Luxemburg ^03.06.2021^,59.66,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^05.06.2021^,59.29,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ch: Schweiz ^02.06.2021^,59.26,"Moderna, Pfizer/BioNTech"
:pl: Polen ^06.06.2021^,58.48,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^06.06.2021^,58.48,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gr: Griechenland ^05.06.2021^,58.38,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^06.06.2021^,57.98,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^06.06.2021^,57.63,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^06.06.2021^,57.47,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:se: Schweden ^04.06.2021^,54.98,"Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^06.06.2021^,54.8,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cn: Volksrepublik China ^06.06.2021^,54.04,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:no: Norwegen ^03.06.2021^,53.77,"Moderna, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^03.06.2021^,52.91,Oxford/AstraZeneca
:dm: Dominica ^02.06.2021^,51.57,Oxford/AstraZeneca
:sk: Slowakei ^06.06.2021^,50.8,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:bb: Barbados ^04.06.2021^,49.93,Oxford/AstraZeneca
:ie: Irland ^30.05.2021^,48.35,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:do: Dominikanische Republik ^05.06.2021^,47.16,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:ad: Andorra ^31.05.2021^,46.48,"Oxford/AstraZeneca, Pfizer/BioNTech"
:hr: Kroatien ^05.06.2021^,46.33,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lv: Lettland ^06.06.2021^,45.11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sa: Saudi-Arabien ^06.06.2021^,43.02,"Oxford/AstraZeneca, Pfizer/BioNTech"
:kw: Kuwait ^16.05.2021^,42.62,Pfizer/BioNTech
:ro: Rumänien ^05.06.2021^,42.53,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ma: Marokko ^05.06.2021^,40.66,"Oxford/AstraZeneca, Sinopharm/Beijing"
:me: Montenegro ^06.06.2021^,38.54,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:tr: Türkei ^06.06.2021^,36.59,"Pfizer/BioNTech, Sinovac"
:gy: Guyana ^05.06.2021^,36.27,"Oxford/AstraZeneca, Sputnik V"
:br: Brasilien ^06.06.2021^,33.73,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:cr: Costa Rica ^01.06.2021^,32.56,"Oxford/AstraZeneca, Pfizer/BioNTech"
:mu: Mauritius ^31.05.2021^,31.52,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:ar: Argentinien ^06.06.2021^,31.18,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:sv: El Salvador ^02.06.2021^,31.07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:kh: Kambodscha ^03.06.2021^,28.61,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:to: Tonga ^01.06.2021^,28.36,Oxford/AstraZeneca
