Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:sc: Seychellen ^02.06.2021^,138.83,"Oxford/AstraZeneca, Sinopharm/Beijing"
:ae: Vereinigte Arabische Emirate ^07.06.2021^,134.95,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:sm: San Marino ^07.06.2021^,127.27,"Pfizer/BioNTech, Sputnik V"
:mt: Malta ^07.06.2021^,126.45,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:il: Israel ^07.06.2021^,122.49,"Moderna, Pfizer/BioNTech"
:bh: Bahrain ^08.06.2021^,108.71,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:mn: Mongolei ^08.06.2021^,106.19,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:cl: Chile ^07.06.2021^,102.76,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:gb: Vereinigtes Königreich ^07.06.2021^,101.35,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:hu: Ungarn ^05.06.2021^,95.75,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:qa: Katar ^08.06.2021^,94.29,"Moderna, Pfizer/BioNTech"
:us: Vereinigte Staaten ^08.06.2021^,90.87,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mv: Malediven ^07.06.2021^,90.06,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:uy: Uruguay ^08.06.2021^,89.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:mc: Monaco ^03.06.2021^,80.97,Pfizer/BioNTech
:is: Island ^07.06.2021^,80.34,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^08.06.2021^,75.59,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^07.06.2021^,75.07,"Moderna, Pfizer/BioNTech"
:ca: Kanada ^08.06.2021^,71.16,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:rs: Serbien ^05.06.2021^,70.11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:nr: Nauru ^08.06.2021^,68.65,Oxford/AstraZeneca
:lt: Litauen ^08.06.2021^,68.04,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:de: Deutschland ^07.06.2021^,66.3,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:dk: Dänemark ^07.06.2021^,66.21,"Moderna, Pfizer/BioNTech"
:be: Belgien ^07.06.2021^,66.21,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^07.06.2021^,65.18,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^08.06.2021^,65.02,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^08.06.2021^,64.49,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^08.06.2021^,63.59,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ch: Schweiz ^06.06.2021^,63.17,"Moderna, Pfizer/BioNTech"
:li: Liechtenstein ^06.06.2021^,63.07,"Moderna, Pfizer/BioNTech"
:bt: Bhutan ^27.05.2021^,62.56,Oxford/AstraZeneca
:pt: Portugal ^08.06.2021^,62.52,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:gr: Griechenland ^08.06.2021^,61.03,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^07.06.2021^,60.45,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pl: Polen ^08.06.2021^,60.08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^08.06.2021^,59.42,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^08.06.2021^,58.84,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^08.06.2021^,58.67,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nl: Niederlande ^06.06.2021^,57.98,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:se: Schweden ^08.06.2021^,57.82,"Oxford/AstraZeneca, Pfizer/BioNTech"
:cz: Tschechien ^08.06.2021^,56.96,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ag: Antigua und Barbuda ^06.06.2021^,56.75,Oxford/AstraZeneca
:cn: Volksrepublik China ^08.06.2021^,56.2,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:kn: St. Kitts und Nevis ^05.06.2021^,55.7,Oxford/AstraZeneca
:no: Norwegen ^07.06.2021^,55.56,"Moderna, Pfizer/BioNTech"
:sk: Slowakei ^08.06.2021^,52.48,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:do: Dominikanische Republik ^08.06.2021^,52.1,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:dm: Dominica ^02.06.2021^,51.57,Oxford/AstraZeneca
:bb: Barbados ^06.06.2021^,50.22,Oxford/AstraZeneca
:ie: Irland ^30.05.2021^,48.35,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lv: Lettland ^08.06.2021^,46.86,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:hr: Kroatien ^07.06.2021^,46.79,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ad: Andorra ^31.05.2021^,46.48,"Oxford/AstraZeneca, Pfizer/BioNTech"
:sa: Saudi-Arabien ^08.06.2021^,43.72,"Oxford/AstraZeneca, Pfizer/BioNTech"
:ro: Rumänien ^07.06.2021^,43.08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ma: Marokko ^08.06.2021^,42.8,"Oxford/AstraZeneca, Sinopharm/Beijing"
:kw: Kuwait ^16.05.2021^,42.62,Pfizer/BioNTech
:me: Montenegro ^08.06.2021^,39.57,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:tr: Türkei ^08.06.2021^,37.46,"Pfizer/BioNTech, Sinovac"
:cr: Costa Rica ^07.06.2021^,37.42,"Oxford/AstraZeneca, Pfizer/BioNTech"
:gy: Guyana ^05.06.2021^,36.27,"Oxford/AstraZeneca, Sputnik V"
:mu: Mauritius ^08.06.2021^,35.8,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
:br: Brasilien ^08.06.2021^,35.07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:sv: El Salvador ^07.06.2021^,33.1,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:ar: Argentinien ^08.06.2021^,32.45,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
:kh: Kambodscha ^08.06.2021^,29.94,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
:to: Tonga ^01.06.2021^,28.36,Oxford/AstraZeneca
:al: Albanien ^07.06.2021^,27.93,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
