Land ^aktualisiert^,Impfungen pro 100 Menschen,Impfstoffe
:ae: Vereinigte Arabische Emirate ^20.06.2021^,146.73,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
:mt: Malta ^20.06.2021^,142.4,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sc: Seychellen ^18.06.2021^,140.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
:sm: San Marino ^20.06.2021^,129.84,"Pfizer/BioNTech, Sputnik V"
:il: Israel ^21.06.2021^,123.06,"Moderna, Pfizer/BioNTech"
:bh: Bahrain ^21.06.2021^,114.94,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:cl: Chile ^18.06.2021^,111.87,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:mn: Mongolei ^21.06.2021^,110.66,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:gb: Vereinigtes Königreich ^20.06.2021^,109.86,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:is: Island ^17.06.2021^,104.08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:uy: Uruguay ^21.06.2021^,102.82,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
:qa: Katar ^21.06.2021^,100.62,"Moderna, Pfizer/BioNTech"
:us: Vereinigte Staaten ^21.06.2021^,95.26,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
:mv: Malediven ^19.06.2021^,92.11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
:mc: Monaco ^10.06.2021^,86.55,Pfizer/BioNTech
:ca: Kanada ^21.06.2021^,86.34,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:cy: Zypern ^19.06.2021^,85.98,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:be: Belgien ^21.06.2021^,84.12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:sg: Singapur ^14.06.2021^,80.19,"Moderna, Pfizer/BioNTech"
:de: Deutschland ^21.06.2021^,80.11,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:es: Spanien ^20.06.2021^,77.76,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lt: Litauen ^21.06.2021^,77.41,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:lu: Luxemburg ^21.06.2021^,77.24,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:it: Italien ^21.06.2021^,77.08,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:at: Österreich ^21.06.2021^,76.73,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:rs: Serbien ^20.06.2021^,75.63,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
:nl: Niederlande ^20.06.2021^,75.45,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pt: Portugal ^21.06.2021^,75.32,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:li: Liechtenstein ^16.06.2021^,75.01,"Moderna, Pfizer/BioNTech"
:ch: Schweiz ^16.06.2021^,74.01,"Moderna, Pfizer/BioNTech"
:cn: Volksrepublik China ^21.06.2021^,72.93,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
:kw: Kuwait ^20.06.2021^,72.59,Pfizer/BioNTech
:gr: Griechenland ^21.06.2021^,72.06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fr: Frankreich ^20.06.2021^,71.62,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:fi: Finnland ^20.06.2021^,70.91,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:pl: Polen ^21.06.2021^,70.46,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:nr: Nauru ^21.06.2021^,69.1,Oxford/AstraZeneca
:cz: Tschechien ^21.06.2021^,68.58,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:ee: Estland ^21.06.2021^,68.49,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
:si: Slowenien ^21.06.2021^,67.36,"Oxford/AstraZeneca, Pfizer/BioNTech"
