,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,2022-12-16,35.3,12.8,2022-03-07,12.8
1,Buholz (Real),,,,2022-02-26,
2,Rontal,,,,2022-07-01,
3,Altdorf,,,,2022-03-02,
4,Wetzikon (Flos),2022-12-16,68.6,2.6,2022-03-21,2.6
5,Hoefe,,,,2022-10-03,
6,Horgen,2022-12-16,46.2,7.6,2022-10-01,7.6
7,Untermarch,,,,2022-02-25,
8,Schwyz,,,,2022-07-11,
9,Alpnach (Sarneraatal),,,,2022-02-10,
10,Engelberg,,,,2022-07-06,
11,Stans (Rotzwinkel),,,,2022-07-10,
12,Meilen (Rorguet),2022-12-16,33.6,-3.1,2022-03-21,3.1
13,Glarnerland,,,,2022-04-07,
14,Cham (Schoenau),,,,2022-07-13,
15,Illnau-Effretikon,2022-12-16,30.0,-9.4,2022-03-17,9.4
16,Dübendorf (Ika Neugut),2022-12-16,51.3,-2.1,2022-07-21,2.1
17,Uster (Jungholz),2022-12-16,59.5,28.5,2022-07-11,28.5
18,Affoltern am Albis,2022-12-16,20.1,-33.0,2022-03-10,33.0
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),2022-12-16,24.5,4.9,2022-02-10,4.9
21,Winterthur,2022-12-16,39.1,3.1,2022-07-15,3.1
22,Dietikon (Limeco),2022-12-16,48.0,-9.1,2022-07-11,9.1
23,Winznau (Zv Olten),,,,2022-03-07,
24,Zuchwil (Soloth.-Emme),,,,2022-03-07,
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2022-12-15,40.5,7.4,2022-03-16,7.4
27,Basel,2022-12-16,16.9,-19.5,2022-03-24,19.5
28,Neuhausen A/Rhf. (Roeti),,,,2022-03-13,
29,Ramsen (Bibertal-Hegau),,,,2022-07-23,
30,Hallau (Klettgau),,,,2022-03-13,
31,Andelfingen,2022-12-16,40.8,-19.5,2022-11-14,19.5
32,Herisau (Bachwis),2022-12-16,28.1,,2022-03-17,
33,Lyss,,,,2022-03-10,
34,Appenzell (Boedeli),,,,2022-03-31,
35,St.Gallen (Au),2022-12-15,4.2,-1.6,2022-04-01,1.6
36,St.Gallen (Hofen),2022-12-16,13.9,1.7,2022-03-07,1.7
37,Aarwangen (Zala),,,,2022-02-10,
38,Steinach (Morgental),2022-12-16,3.9,-5.2,2022-03-17,5.2
39,Au (Rosenbergsau),,,,2022-03-07,
40,Altenrhein,2022-12-15,25.0,-5.3,2022-03-15,5.3
41,Buchs,,,,2022-03-07,
42,Bad Ragaz,,,,2022-03-05,
43,Flums (Seez),,,,2022-03-05,
44,Rapperswil-Jona,2022-12-15,5.8,-2.6,2022-03-06,2.6
45,Flawil (Oberglatt),,,,2022-03-07,
46,Wil,2022-12-16,6.7,-0.6,2022-03-07,0.6
47,Region Bern,2022-12-15,11.3,3.9,2022-02-10,3.9
48,Poschiavo (Li Geri),,,,2022-11-05,
49,Schluein (Gruob),,,,2022-03-31,
50,Worblental,2022-12-15,13.7,-6.3,2022-03-06,6.3
51,Cazis (Waldau),,,,2022-04-07,
52,Scuol (Sot Ruinas),,,,2022-07-02,
53,S-chanf (Oberengadin),,,,2022-06-30,
54,Davos (Gadenstatt),,,,2022-02-26,
55,Klosters (Gulfia),,,,2022-06-30,
56,Chur,2022-12-15,21.7,0.7,2022-03-12,0.7
57,Arosa,,,,2022-04-09,
58,Landquart,,,,2022-11-07,
59,Seewis (Vorderes Prättigau),,,,2022-02-28,
60,Aarau,,,,2022-07-20,
61,Baden,,,,2022-03-08,
62,Bremgarten,,,,2022-07-22,
63,Wohlen,,,,2022-03-10,
64,Moossee-Urtenenbach,2022-12-16,7.7,-0.3,2022-03-07,0.3
65,Brugg,,,,2022-03-07,
66,Reinach,,,,2022-03-10,
67,Kaisten,,,,2022-07-19,
68,Lenzburg,,,,2022-03-08,
69,Aarburg,,,,2022-03-07,
70,Zofingen,,,,2022-03-10,
71,"Hefenhofen (Aachtal, Moos)",,,,2022-03-05,
72,Frauenfeld,,,,2022-03-05,
73,Weinfelden (Mittelthurgau),,,,2022-03-05,
74,Bellinzona (Giubiasco),2022-12-16,25.0,-10.8,2022-03-22,10.8
75,Locarno (Foce Ticino),2022-12-16,22.8,-15.5,2022-03-25,15.5
76,Locarno (Foce Maggia),2022-12-16,22.8,-9.9,2022-03-22,9.9
77,Lugano,2022-12-15,46.7,-7.3,2022-03-13,7.3
78,Mendrisio (Rancate),2022-12-16,27.4,-21.8,2022-02-10,21.8
79,Chiasso (Vacallo),2022-12-16,33.2,3.4,2022-10-08,3.4
80,Bülach,2022-12-16,30.5,-3.1,2022-03-10,3.1
81,Lausanne (Vidy),2022-12-16,35.8,-10.6,2022-03-07,10.6
82,Morges,,,,2022-03-06,
83,Commugny,,,,2022-03-07,
84,Gland (Apec),,,,2022-03-30,
85,Nyon,,,,2022-03-28,
86,Grindelwald,2022-12-15,6.1,-2.2,2022-07-11,2.2
87,Lauterbrunnen,,,,2022-02-10,
88,Montreux/Pierrier,,,,2022-07-11,
89,Vevey (Aviron),,,,2022-03-05,
90,Interlaken,,,,2022-03-07,
91,Yverdon,,,,2022-07-11,
92,Brig-Glis (Briglina),2022-12-16,25.4,-0.6,2022-09-24,0.6
93,Bagnes-Le Châble,,,,2022-07-11,
94,Goms,,,,2022-07-17,
95,Martigny,,,,2022-10-10,
96,Sierre/Noes,2022-12-16,35.3,-9.0,2022-10-15,9.0
97,Sion/Chateauneuf,,,,2022-06-18,
98,Zermatt,,,,2022-07-15,
99,Colombier (La Saunerie),2022-12-15,61.1,14.0,2022-10-02,14.0
100,La-Chaux-de-Fonds,2022-12-15,9.6,-1.3,2022-03-06,1.3
101,Neuchatel,2022-12-15,32.0,-4.0,2022-03-12,4.0
102,Satigny/Bois-de-Bay,,,,2022-03-21,
103,Thonex/Villette,,,,2022-03-25,
104,Aire,2022-12-15,89.4,11.0,2022-12-03,11.0
105,Laupen,2022-12-15,31.8,3.0,2022-03-12,3.0
106,Delemont (Sede),2022-12-16,13.7,-5.8,2022-02-10,5.8
107,Porrentruy (Sepe),,,,2022-11-17,
108,Biel,2022-12-15,24.0,5.6,2022-03-06,5.6
