,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,,,,2022-03-07,
1,Buholz (Real),,,,2022-02-26,
2,Rontal,2022-09-20,15.7,-5.7,2022-07-01,5.7
3,Altdorf,,,,2022-03-02,
4,Wetzikon (Flos),2022-09-23,26.5,4.8,2022-03-21,4.8
5,Hoefe,2022-09-20,23.4,9.8,2022-07-08,9.8
6,Horgen,2022-09-23,35.3,-2.4,2022-07-09,2.4
7,Untermarch,2022-09-20,5.0,0.5,2022-02-25,0.5
8,Schwyz,2022-09-20,10.4,-4.8,2022-07-11,4.8
9,Alpnach (Sarneraatal),,,,2022-02-10,
10,Engelberg,2022-09-20,12.3,6.0,2022-07-06,6.0
11,Stans (Rotzwinkel),,,,2022-07-10,
12,Meilen (Rorguet),2022-09-23,37.4,16.0,2022-03-21,16.0
13,Glarnerland,2022-09-21,13.9,8.3,2022-04-07,8.3
14,Cham (Schoenau),,,,2022-07-13,
15,Illnau-Effretikon,2022-09-23,20.9,8.1,2022-03-17,8.1
16,Dübendorf (Ika Neugut),2022-09-23,30.4,4.6,2022-07-21,4.6
17,Uster (Jungholz),2022-09-23,39.2,23.2,2022-07-11,23.2
18,Affoltern am Albis,2022-09-23,24.5,13.6,2022-03-10,13.6
19,Vuippens (Ais),2022-09-21,15.2,-9.5,2022-03-05,9.5
20,Fribourg (Aele),,,,2022-02-10,
21,Winterthur,2022-09-23,50.3,4.1,2022-07-15,4.1
22,Dietikon (Limeco),2022-09-23,32.6,23.9,2022-07-11,23.9
23,Winznau (Zv Olten),2022-09-21,12.0,3.3,2022-03-07,3.3
24,Zuchwil (Soloth.-Emme),,,,2022-03-07,
25,Grenchen (Buerenamt),2022-09-21,28.7,0.6,2022-03-07,0.6
26,Werdhölzli,2022-09-22,13.7,-2.7,2022-03-16,2.7
27,Basel,2022-09-23,25.2,0.2,2022-03-24,0.2
28,Neuhausen A/Rhf. (Roeti),,,,2022-03-13,
29,Ramsen (Bibertal-Hegau),,,,2022-07-23,
