,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,,,,2022-03-07,
1,Buholz (Real),2023-05-09,3.9,-34.6,2022-02-26,34.6
2,Rontal,,,,2022-07-01,
3,Altdorf,2023-05-09,3.3,-13.9,2022-03-02,13.9
4,Wetzikon (Flos),,,,2022-03-21,
5,Hoefe,,,,2022-10-03,
6,Horgen,,,,2022-10-01,
7,Untermarch,,,,2022-02-25,
8,Schwyz,2023-05-09,2.3,-15.7,2022-07-11,15.7
9,Alpnach (Sarneraatal),2023-05-10,2.7,-14.0,2022-02-10,14.0
10,Engelberg,,,,2022-07-06,
11,Stans (Rotzwinkel),2023-05-09,9.2,-33.1,2022-07-10,33.1
12,Meilen (Rorguet),,,,2022-03-21,
13,Glarnerland,2023-05-10,22.3,-11.5,2022-04-07,11.5
14,Cham (Schoenau),2023-05-09,2.9,-12.4,2022-07-13,12.4
15,Illnau-Effretikon,,,,2022-03-17,
16,Dübendorf (Ika Neugut),,,,2022-12-19,
17,Uster (Jungholz),,,,2022-07-11,
18,Affoltern am Albis,,,,2022-03-10,
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),2023-05-10,5.4,-4.7,2022-02-10,4.7
21,Winterthur,,,,2022-07-15,
22,Dietikon (Limeco),,,,2022-07-11,
23,Winznau (Zv Olten),,,,2022-03-07,
24,Zuchwil (Soloth.-Emme),2023-05-10,2.1,-2.0,2022-03-07,2.0
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2023-05-11,11.6,-1.2,2022-03-16,1.2
27,Basel,2023-05-12,6.7,-11.8,2022-03-24,11.8
28,Birs,,,,2023-03-14,
29,Birsig,,,,2022-12-06,
30,Zwingen (Laufental-L-Tal),,,,2022-12-09,
31,Ergolz 2,,,,2022-11-18,
32,Pratteln/Rhein,,,,2022-12-23,
33,Ergolz 1,,,,2022-11-13,
34,Neuhausen A/Rhf. (Roeti),,,,2022-12-24,
35,Ramsen (Bibertal-Hegau),,,,2022-12-24,
36,Hallau (Klettgau),,,,2022-12-26,
37,Andelfingen,,,,2022-11-14,
38,Herisau (Bachwis),,,,2022-03-17,
39,Lyss,,,,2022-03-10,
40,Appenzell (Boedeli),,,,2022-03-31,
41,St.Gallen (Au),,,,2022-04-01,
42,St.Gallen (Hofen),,,,2022-03-07,
43,Aarwangen (Zala),,,,2022-02-10,
44,Steinach (Morgental),,,,2022-03-17,
45,Au (Rosenbergsau),,,,2022-03-07,
46,Altenrhein,2023-05-11,9.0,1.6,2022-03-15,1.6
47,Buchs,,,,2022-03-07,
48,Bad Ragaz,,,,2022-03-05,
49,Flums (Seez),2023-05-10,1.1,-2.5,2022-03-05,2.5
50,Rapperswil-Jona,2023-05-11,1.6,0.1,2022-03-06,0.1
51,Flawil (Oberglatt),,,,2022-03-07,
52,Wil,,,,2022-03-07,
53,Region Bern,2023-05-10,5.3,2.4,2022-02-10,2.4
54,Poschiavo (Li Geri),,,,2022-11-05,
55,Schluein (Gruob),2023-05-10,1.6,-8.0,2023-02-27,8.0
56,Worblental,,,,2022-03-06,
57,Cazis (Waldau),,,,2022-04-07,
58,Scuol (Sot Ruinas),,,,2022-07-02,
59,S-chanf (Oberengadin),2023-05-10,12.9,-11.2,2022-12-31,11.2
60,Davos (Gadenstatt),2023-05-10,6.6,2.6,2022-02-26,2.6
61,Klosters (Gulfia),,,,2022-12-22,
62,Chur,2023-05-11,6.3,1.8,2022-03-12,1.8
63,Arosa,,,,2022-04-09,
64,Landquart,,,,2022-11-07,
65,Seewis (Vorderes Prättigau),,,,2022-02-28,
66,Aarau,,,,2022-12-04,
67,Burgdorf,,,,2022-10-17,
68,Baden,,,,2022-12-09,
69,Bremgarten,,,,2022-07-22,
70,Wohlen,,,,2022-12-09,
71,Moossee-Urtenenbach,,,,2022-03-07,
72,Brugg,,,,2022-12-10,
73,Reinach,,,,2022-03-10,
74,Kaisten,,,,2022-07-19,
75,Lenzburg,,,,2022-11-29,
76,Aarburg,,,,2022-03-07,
77,Zofingen,,,,2022-12-23,
78,"Hefenhofen (Aachtal, Moos)",,,,2022-03-05,
79,Frauenfeld,2023-05-10,3.1,0.3,2022-03-05,0.3
80,Weinfelden (Mittelthurgau),,,,2022-03-05,
81,Bellinzona (Giubiasco),,,,2022-03-22,
