,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,2023-04-23,0.0,-0.0,2022-03-07,-0.0
1,Buholz (Real),,,,2022-02-26,
2,Rontal,,,,2022-07-01,
3,Altdorf,,,,2022-03-02,
4,Wetzikon (Flos),,,,2022-03-21,
5,Hoefe,,,,2022-10-03,
6,Horgen,,,,2022-10-01,
7,Untermarch,,,,2022-02-25,
8,Schwyz,,,,2022-07-11,
9,Alpnach (Sarneraatal),,,,2022-02-10,
10,Engelberg,,,,2022-07-06,
11,Stans (Rotzwinkel),,,,2022-07-10,
12,Meilen (Rorguet),,,,2022-03-21,
13,Glarnerland,2023-04-26,35.3,8.9,2022-04-07,8.9
14,Cham (Schoenau),,,,2022-07-13,
15,Illnau-Effretikon,2023-04-20,28.0,3.0,2022-03-17,3.0
16,Dübendorf (Ika Neugut),,,,2022-12-19,
17,Uster (Jungholz),,,,2022-07-11,
18,Affoltern am Albis,,,,2022-03-10,
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),2023-04-26,5.5,0.6,2022-02-10,0.6
21,Winterthur,2023-04-20,38.2,-33.0,2022-07-15,33.0
22,Dietikon (Limeco),2023-04-20,38.3,3.5,2022-07-11,3.5
23,Winznau (Zv Olten),,,,2022-03-07,
24,Zuchwil (Soloth.-Emme),2023-04-26,7.3,2.6,2022-03-07,2.6
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2023-04-27,15.2,-0.7,2022-03-16,0.7
27,Basel,2023-04-24,25.4,-6.8,2022-03-24,6.8
28,Birs,,,,2023-03-14,
29,Birsig,,,,2022-12-06,
30,Zwingen (Laufental-L-Tal),,,,2022-12-09,
31,Ergolz 2,,,,2022-11-18,
32,Pratteln/Rhein,,,,2022-12-23,
33,Ergolz 1,,,,2022-11-13,
34,Neuhausen A/Rhf. (Roeti),2023-04-19,5.4,-10.8,2022-12-24,10.8
35,Ramsen (Bibertal-Hegau),2023-04-19,2.4,-14.9,2022-12-24,14.9
36,Hallau (Klettgau),,,,2022-12-26,
37,Andelfingen,,,,2022-11-14,
38,Herisau (Bachwis),,,,2022-03-17,
39,Lyss,,,,2022-03-10,
40,Appenzell (Boedeli),,,,2022-03-31,
41,St.Gallen (Au),,,,2022-04-01,
42,St.Gallen (Hofen),,,,2022-03-07,
43,Aarwangen (Zala),,,,2022-02-10,
44,Steinach (Morgental),,,,2022-03-17,
45,Au (Rosenbergsau),,,,2022-03-07,
46,Altenrhein,2023-04-27,9.8,-1.9,2022-03-15,1.9
47,Buchs,,,,2022-03-07,
48,Bad Ragaz,,,,2022-03-05,
49,Flums (Seez),2023-04-26,0.5,-0.7,2022-03-05,0.7
50,Rapperswil-Jona,2023-04-27,2.0,-1.1,2022-03-06,1.1
51,Flawil (Oberglatt),,,,2022-03-07,
52,Wil,,,,2022-03-07,
53,Region Bern,2023-04-26,6.4,2.1,2022-02-10,2.1
54,Poschiavo (Li Geri),,,,2022-11-05,
55,Schluein (Gruob),2023-04-26,4.4,-11.0,2023-02-27,11.0
56,Worblental,,,,2022-03-06,
57,Cazis (Waldau),,,,2022-04-07,
58,Scuol (Sot Ruinas),,,,2022-07-02,
59,S-chanf (Oberengadin),2023-04-26,16.3,-2.4,2022-12-31,2.4
60,Davos (Gadenstatt),2023-04-26,10.9,-2.3,2022-02-26,2.3
61,Klosters (Gulfia),,,,2022-12-22,
62,Chur,2023-04-22,6.8,-5.2,2022-03-12,5.2
63,Arosa,,,,2022-04-09,
64,Landquart,,,,2022-11-07,
65,Seewis (Vorderes Prättigau),,,,2022-02-28,
66,Aarau,,,,2022-12-04,
67,Burgdorf,,,,2022-10-17,
68,Baden,,,,2022-12-09,
69,Bremgarten,,,,2022-07-22,
70,Wohlen,,,,2022-12-09,
71,Moossee-Urtenenbach,,,,2022-03-07,
72,Brugg,,,,2022-12-10,
73,Reinach,,,,2022-03-10,
74,Kaisten,,,,2022-07-19,
75,Lenzburg,,,,2022-11-29,
76,Aarburg,,,,2022-03-07,
77,Zofingen,,,,2022-12-23,
78,"Hefenhofen (Aachtal, Moos)",,,,2022-03-05,
79,Frauenfeld,2023-04-21,3.5,-3.9,2022-03-05,3.9
80,Weinfelden (Mittelthurgau),,,,2022-03-05,
81,Bellinzona (Giubiasco),,,,2022-03-22,
82,Locarno (Foce Ticino),,,,2022-03-25,
83,Locarno (Foce Maggia),2023-04-28,5.1,0.6,2022-03-22,0.6
84,Lugano,2023-04-27,17.9,3.4,2022-03-13,3.4
85,Mendrisio (Rancate),,,,2022-02-10,
86,Chiasso (Vacallo),2023-04-28,9.9,3.4,2022-10-08,3.4
87,Bülach,2023-04-20,100.0,91.2,2023-04-18,91.2
88,Lausanne (Vidy),2023-04-26,19.0,-0.5,2022-03-07,0.5
89,Morges,,,,2022-03-06,
90,Commugny,,,,2022-03-07,
91,Gland (Apec),,,,2022-03-30,
92,Nyon,,,,2022-03-28,
93,Grindelwald,2023-04-26,9.3,-16.1,2022-07-11,16.1
94,Lauterbrunnen,,,,2022-02-10,
95,Montreux/Pierrier,,,,2022-07-11,
96,Vevey (Aviron),,,,2022-03-05,
97,Interlaken,,,,2022-03-07,
98,Yverdon,,,,2022-07-11,
99,Brig-Glis (Briglina),2023-04-27,7.4,-0.4,2022-09-24,0.4
100,Bagnes-Le Châble,2023-04-26,9.8,1.2,2023-02-23,1.2
101,Goms,,,,2022-07-17,
102,Martigny,2023-04-26,7.2,-2.5,2022-10-10,2.5
103,Sierre/Noes,2023-04-28,7.6,2.9,2023-03-26,2.9
104,Sion/Chateauneuf,,,,2022-06-18,
105,Zermatt,,,,2022-07-15,
106,Colombier (La Saunerie),,,,2022-10-02,
107,La-Chaux-de-Fonds,,,,2022-03-06,
108,Neuchatel,2023-04-26,21.6,10.7,2022-03-12,10.7
109,Satigny/Bois-de-Bay,,,,2022-03-21,
110,Thonex/Villette,,,,2022-03-25,
111,Aire,2023-04-26,23.0,7.6,2022-12-03,7.6
112,Laupen,2023-04-26,10.8,3.2,2022-03-12,3.2
113,Delemont (Sede),2023-04-27,1.8,-1.4,2023-04-10,1.4
114,Porrentruy (Sepe),2023-04-27,6.7,-6.4,2022-11-17,6.4
115,Biel,,,,2022-03-06,
116,Saanen,,,,2022-03-08,
117,Niederglatt (Fischb.-Gl.),,,,2022-07-11,
118,Thunersee,2023-04-26,3.1,-7.0,2022-03-08,7.0
119,Mittl. Emmental,,,,2022-03-05,
