,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,,,,2022-03-07,
1,Buholz (Real),2023-04-18,39.0,-26.6,2022-02-26,26.6
2,Rontal,,,,2022-07-01,
3,Altdorf,2023-04-18,24.1,-2.4,2022-03-02,2.4
4,Wetzikon (Flos),,,,2022-03-21,
5,Hoefe,,,,2022-10-03,
6,Horgen,,,,2022-10-01,
7,Untermarch,,,,2022-02-25,
8,Schwyz,2023-04-18,31.8,-9.2,2022-07-11,9.2
9,Alpnach (Sarneraatal),2023-04-18,18.1,-35.8,2022-02-10,35.8
10,Engelberg,,,,2022-07-06,
11,Stans (Rotzwinkel),2023-04-18,25.7,-32.2,2022-07-10,32.2
12,Meilen (Rorguet),,,,2022-03-21,
13,Glarnerland,2023-04-19,29.0,-7.7,2022-04-07,7.7
14,Cham (Schoenau),2023-04-18,10.6,-23.5,2022-07-13,23.5
15,Illnau-Effretikon,2023-04-20,28.0,3.0,2022-03-17,3.0
16,Dübendorf (Ika Neugut),,,,2022-12-19,
17,Uster (Jungholz),,,,2022-07-11,
18,Affoltern am Albis,,,,2022-03-10,
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),,,,2022-02-10,
21,Winterthur,2023-04-20,38.2,-33.0,2022-07-15,33.0
22,Dietikon (Limeco),2023-04-20,38.3,3.5,2022-07-11,3.5
23,Winznau (Zv Olten),,,,2022-03-07,
24,Zuchwil (Soloth.-Emme),,,,2022-03-07,
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2023-04-20,22.6,-3.1,2022-03-16,3.1
27,Basel,2023-04-21,32.2,-3.4,2022-03-24,3.4
28,Birs,,,,2023-03-14,
29,Birsig,,,,2022-12-06,
30,Zwingen (Laufental-L-Tal),,,,2022-12-09,
31,Ergolz 2,,,,2022-11-18,
32,Pratteln/Rhein,,,,2022-12-23,
33,Ergolz 1,,,,2022-11-13,
34,Neuhausen A/Rhf. (Roeti),2023-04-19,5.4,-10.8,2022-12-24,10.8
35,Ramsen (Bibertal-Hegau),2023-04-19,2.4,-14.9,2022-12-24,14.9
36,Hallau (Klettgau),,,,2022-12-26,
37,Andelfingen,,,,2022-11-14,
38,Herisau (Bachwis),,,,2022-03-17,
39,Lyss,,,,2022-03-10,
40,Appenzell (Boedeli),,,,2022-03-31,
41,St.Gallen (Au),,,,2022-04-01,
42,St.Gallen (Hofen),,,,2022-03-07,
43,Aarwangen (Zala),,,,2022-02-10,
44,Steinach (Morgental),,,,2022-03-17,
45,Au (Rosenbergsau),,,,2022-03-07,
46,Altenrhein,2023-04-20,16.7,5.4,2022-03-15,5.4
47,Buchs,,,,2022-03-07,
48,Bad Ragaz,,,,2022-03-05,
49,Flums (Seez),2023-04-19,1.3,-1.8,2022-03-05,1.8
50,Rapperswil-Jona,2023-04-20,3.3,-2.4,2022-03-06,2.4
51,Flawil (Oberglatt),,,,2022-03-07,
52,Wil,,,,2022-03-07,
53,Region Bern,2023-04-19,6.2,-0.0,2022-02-10,-0.0
54,Poschiavo (Li Geri),,,,2022-11-05,
55,Schluein (Gruob),2023-04-19,13.6,-16.3,2023-02-27,16.3
56,Worblental,,,,2022-03-06,
57,Cazis (Waldau),,,,2022-04-07,
58,Scuol (Sot Ruinas),,,,2022-07-02,
59,S-chanf (Oberengadin),2023-04-19,23.5,3.9,2022-12-31,3.9
60,Davos (Gadenstatt),2023-04-19,15.8,-3.1,2022-02-26,3.1
61,Klosters (Gulfia),,,,2022-12-22,
62,Chur,2023-04-20,9.2,-3.7,2022-03-12,3.7
63,Arosa,,,,2022-04-09,
64,Landquart,,,,2022-11-07,
65,Seewis (Vorderes Prättigau),,,,2022-02-28,
