,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,2022-10-14,55.3,-21.9,2022-03-07,21.9
1,Buholz (Real),,,,2022-02-26,
2,Rontal,2022-10-11,72.5,35.5,2022-07-01,35.5
3,Altdorf,,,,2022-03-02,
4,Wetzikon (Flos),2022-10-14,69.9,7.8,2022-03-21,7.8
5,Hoefe,2022-10-11,62.7,-37.3,2022-10-03,37.3
6,Horgen,2022-10-14,49.1,-21.0,2022-10-01,21.0
7,Untermarch,2022-10-11,63.9,-20.6,2022-02-25,20.6
8,Schwyz,2022-10-12,36.1,-0.7,2022-07-11,0.7
9,Alpnach (Sarneraatal),,,,2022-02-10,
10,Engelberg,2022-10-11,46.8,14.5,2022-07-06,14.5
11,Stans (Rotzwinkel),,,,2022-07-10,
12,Meilen (Rorguet),2022-10-14,51.4,12.4,2022-03-21,12.4
13,Glarnerland,2022-10-12,16.4,2.7,2022-04-07,2.7
14,Cham (Schoenau),2022-10-11,49.2,-5.5,2022-07-13,5.5
15,Illnau-Effretikon,2022-10-14,56.2,-1.9,2022-03-17,1.9
16,Dübendorf (Ika Neugut),2022-10-14,56.2,6.0,2022-07-21,6.0
17,Uster (Jungholz),2022-10-14,83.5,32.0,2022-07-11,32.0
18,Affoltern am Albis,2022-10-14,34.3,-13.4,2022-03-10,13.4
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),,,,2022-02-10,
21,Winterthur,2022-10-14,55.6,-6.0,2022-07-15,6.0
22,Dietikon (Limeco),2022-10-14,46.0,-6.0,2022-07-11,6.0
23,Winznau (Zv Olten),2022-10-12,19.7,-1.9,2022-03-07,1.9
24,Zuchwil (Soloth.-Emme),2022-10-12,30.7,-0.2,2022-03-07,0.2
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2022-10-13,27.9,2.5,2022-03-16,2.5
27,Basel,2022-10-14,35.9,2.5,2022-03-24,2.5
28,Neuhausen A/Rhf. (Roeti),2022-10-12,39.5,23.4,2022-03-13,23.4
29,Ramsen (Bibertal-Hegau),2022-10-12,28.0,1.9,2022-07-23,1.9
30,Hallau (Klettgau),2022-10-12,26.9,10.5,2022-03-13,10.5
31,Andelfingen,2022-10-14,43.7,-44.5,2022-10-03,44.5
32,Herisau (Bachwis),2022-10-11,73.6,9.9,2022-03-17,9.9
33,Lyss,2022-10-12,27.7,-1.4,2022-03-10,1.4
34,Appenzell (Boedeli),2022-10-12,6.0,0.5,2022-03-31,0.5
35,St.Gallen (Au),2022-10-11,12.2,-2.1,2022-04-01,2.1
36,St.Gallen (Hofen),2022-10-14,14.9,-9.5,2022-03-07,9.5
37,Aarwangen (Zala),,,,2022-02-10,
38,Steinach (Morgental),2022-10-14,8.2,-4.0,2022-03-17,4.0
39,Au (Rosenbergsau),2022-10-12,26.6,-10.5,2022-03-07,10.5
40,Altenrhein,2022-10-13,28.7,-0.2,2022-03-15,0.2
41,Buchs,,,,2022-03-07,
42,Bad Ragaz,2022-10-12,14.5,1.5,2022-03-05,1.5
43,Flums (Seez),2022-10-12,12.7,0.1,2022-03-05,0.1
