,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,2022-10-26,16.9,-15.6,2022-03-07,15.6
1,Buholz (Real),2022-10-24,20.1,-19.2,2022-02-26,19.2
2,Rontal,2022-10-25,31.3,2.5,2022-07-01,2.5
3,Altdorf,2022-10-25,52.4,25.2,2022-03-02,25.2
4,Wetzikon (Flos),2022-10-28,50.3,16.3,2022-03-21,16.3
5,Hoefe,2022-10-25,19.9,-17.3,2022-10-03,17.3
6,Horgen,2022-10-28,28.4,-7.9,2022-10-01,7.9
7,Untermarch,2022-10-25,30.6,-50.3,2022-02-25,50.3
8,Schwyz,2022-10-26,34.8,-15.8,2022-07-11,15.8
9,Alpnach (Sarneraatal),2022-10-24,23.3,-12.2,2022-02-10,12.2
10,Engelberg,2022-10-25,7.5,-62.8,2022-07-06,62.8
11,Stans (Rotzwinkel),2022-10-24,31.8,-1.7,2022-07-10,1.7
12,Meilen (Rorguet),2022-10-28,43.5,11.7,2022-03-21,11.7
13,Glarnerland,2022-10-26,14.7,2.0,2022-04-07,2.0
14,Cham (Schoenau),2022-10-24,30.0,-8.2,2022-07-13,8.2
15,Illnau-Effretikon,2022-10-28,37.9,1.0,2022-03-17,1.0
16,Dübendorf (Ika Neugut),2022-10-28,40.0,8.1,2022-07-21,8.1
17,Uster (Jungholz),2022-10-28,37.8,-3.8,2022-07-11,3.8
18,Affoltern am Albis,2022-10-28,24.8,7.7,2022-03-10,7.7
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),2022-10-27,16.2,1.1,2022-02-10,1.1
21,Winterthur,2022-10-28,34.0,-12.8,2022-07-15,12.8
22,Dietikon (Limeco),2022-10-28,20.3,-4.9,2022-07-11,4.9
23,Winznau (Zv Olten),2022-10-26,6.2,1.3,2022-03-07,1.3
24,Zuchwil (Soloth.-Emme),2022-10-26,26.9,6.3,2022-03-07,6.3
25,Grenchen (Buerenamt),2022-10-26,35.6,6.4,2022-03-07,6.4
26,Werdhölzli,2022-10-27,19.2,0.2,2022-03-16,0.2
27,Basel,2022-10-28,8.4,1.7,2022-03-24,1.7
28,Neuhausen A/Rhf. (Roeti),2022-10-26,1.5,-5.2,2022-03-13,5.2
29,Ramsen (Bibertal-Hegau),2022-10-26,6.2,-6.9,2022-07-23,6.9
30,Hallau (Klettgau),2022-10-23,10.1,0.5,2022-03-13,0.5
31,Andelfingen,2022-10-28,20.4,-4.0,2022-10-03,4.0
