,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,,,,2022-03-07,
1,Buholz (Real),,,,2022-02-26,
2,Rontal,,,,2022-07-01,
3,Altdorf,,,,2022-03-02,
4,Wetzikon (Flos),,,,2022-03-21,
5,Hoefe,,,,2022-10-03,
6,Horgen,,,,2022-10-01,
7,Untermarch,,,,2022-02-25,
8,Schwyz,,,,2022-07-11,
9,Alpnach (Sarneraatal),,,,2022-02-10,
10,Engelberg,,,,2022-07-06,
11,Stans (Rotzwinkel),,,,2022-07-10,
12,Meilen (Rorguet),,,,2022-03-21,
13,Glarnerland,,,,2022-04-07,
14,Cham (Schoenau),,,,2022-07-13,
15,Illnau-Effretikon,,,,2022-03-17,
16,Dübendorf (Ika Neugut),,,,2022-07-21,
17,Uster (Jungholz),,,,2022-07-11,
18,Affoltern am Albis,,,,2022-03-10,
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),,,,2022-02-10,
21,Winterthur,,,,2022-07-15,
22,Dietikon (Limeco),,,,2022-07-11,
23,Winznau (Zv Olten),,,,2022-03-07,
24,Zuchwil (Soloth.-Emme),,,,2022-03-07,
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2022-12-22,26.6,-11.5,2022-03-16,11.5
27,Basel,,,,2022-03-24,
28,Neuhausen A/Rhf. (Roeti),,,,2022-03-13,
29,Ramsen (Bibertal-Hegau),,,,2022-07-23,
30,Hallau (Klettgau),,,,2022-03-13,
31,Andelfingen,,,,2022-11-14,
32,Herisau (Bachwis),,,,2022-03-17,
33,Lyss,,,,2022-03-10,
34,Appenzell (Boedeli),,,,2022-03-31,
35,St.Gallen (Au),,,,2022-04-01,
36,St.Gallen (Hofen),,,,2022-03-07,
37,Aarwangen (Zala),,,,2022-02-10,
38,Steinach (Morgental),,,,2022-03-17,
39,Au (Rosenbergsau),,,,2022-03-07,
40,Altenrhein,2022-12-22,12.7,-15.3,2022-03-15,15.3
41,Buchs,,,,2022-03-07,
42,Bad Ragaz,,,,2022-03-05,
43,Flums (Seez),,,,2022-03-05,
44,Rapperswil-Jona,,,,2022-03-06,
45,Flawil (Oberglatt),,,,2022-03-07,
46,Wil,,,,2022-03-07,
47,Region Bern,,,,2022-02-10,
48,Poschiavo (Li Geri),,,,2022-11-05,
49,Schluein (Gruob),,,,2022-03-31,
50,Worblental,,,,2022-03-06,
51,Cazis (Waldau),,,,2022-04-07,
52,Scuol (Sot Ruinas),,,,2022-07-02,
53,S-chanf (Oberengadin),,,,2022-06-30,
54,Davos (Gadenstatt),,,,2022-02-26,
55,Klosters (Gulfia),,,,2022-12-19,
56,Chur,2022-12-22,18.5,-1.9,2022-03-12,1.9
57,Arosa,,,,2022-04-09,
58,Landquart,,,,2022-11-07,
59,Seewis (Vorderes Prättigau),,,,2022-02-28,
60,Aarau,,,,2022-07-20,
61,Baden,,,,2022-03-08,
62,Bremgarten,,,,2022-07-22,
63,Wohlen,,,,2022-03-10,
64,Moossee-Urtenenbach,,,,2022-03-07,
65,Brugg,,,,2022-03-07,
66,Reinach,,,,2022-03-10,
67,Kaisten,,,,2022-07-19,
68,Lenzburg,,,,2022-03-08,
69,Aarburg,,,,2022-03-07,
70,Zofingen,,,,2022-03-10,
71,"Hefenhofen (Aachtal, Moos)",,,,2022-03-05,
72,Frauenfeld,,,,2022-03-05,
73,Weinfelden (Mittelthurgau),,,,2022-03-05,
74,Bellinzona (Giubiasco),2022-12-24,24.4,-6.8,2022-03-22,6.8
75,Locarno (Foce Ticino),2022-12-24,79.9,46.7,2022-03-25,46.7
76,Locarno (Foce Maggia),2022-12-24,44.9,3.2,2022-03-22,3.2
77,Lugano,2022-12-22,32.4,-10.0,2022-03-13,10.0
78,Mendrisio (Rancate),2022-12-23,36.3,-0.4,2022-02-10,0.4
79,Chiasso (Vacallo),2022-12-23,78.6,35.4,2022-10-08,35.4
80,Bülach,,,,2022-03-10,
81,Lausanne (Vidy),,,,2022-03-07,
82,Morges,,,,2022-03-06,
83,Commugny,,,,2022-03-07,
84,Gland (Apec),,,,2022-03-30,
85,Nyon,,,,2022-03-28,
86,Grindelwald,,,,2022-07-11,
87,Lauterbrunnen,,,,2022-02-10,
88,Montreux/Pierrier,,,,2022-07-11,
89,Vevey (Aviron),,,,2022-03-05,
90,Interlaken,,,,2022-03-07,
91,Yverdon,,,,2022-07-11,
92,Brig-Glis (Briglina),,,,2022-09-24,
93,Bagnes-Le Châble,,,,2022-07-11,
94,Goms,,,,2022-07-17,
95,Martigny,,,,2022-10-10,
96,Sierre/Noes,,,,2022-10-15,
97,Sion/Chateauneuf,,,,2022-06-18,
98,Zermatt,,,,2022-07-15,
99,Colombier (La Saunerie),2022-12-22,49.8,-10.5,2022-10-02,10.5
100,La-Chaux-de-Fonds,2022-12-22,20.1,6.3,2022-03-06,6.3
101,Neuchatel,2022-12-22,28.0,-16.6,2022-03-12,16.6
102,Satigny/Bois-de-Bay,,,,2022-03-21,
103,Thonex/Villette,,,,2022-03-25,
104,Aire,2022-12-22,69.4,2.0,2022-12-03,2.0
105,Laupen,2022-12-22,19.8,-4.7,2022-03-12,4.7
106,Delemont (Sede),,,,2022-02-10,
107,Porrentruy (Sepe),,,,2022-11-17,
108,Biel,,,,2022-03-06,
109,Saanen,,,,2022-03-08,
110,Niederglatt (Fischb.-Gl.),,,,2022-07-11,
111,Thunersee,,,,2022-03-08,
112,Mittl. Emmental,,,,2022-03-05,
