,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,2022-12-30,13.3,-14.2,2022-03-07,14.2
1,Buholz (Real),2023-01-03,18.9,-11.0,2022-02-26,11.0
2,Rontal,2022-12-31,32.2,-44.6,2022-07-01,44.6
3,Altdorf,2023-01-02,39.5,15.5,2022-03-02,15.5
4,Wetzikon (Flos),2022-12-30,58.2,18.4,2022-03-21,18.4
5,Hoefe,,,,2022-10-03,
6,Horgen,2022-12-30,76.8,16.4,2022-10-01,16.4
7,Untermarch,2022-12-31,18.7,-0.3,2022-02-25,0.3
8,Schwyz,2023-01-02,27.3,17.5,2022-07-11,17.5
9,Alpnach (Sarneraatal),2023-01-04,14.0,,2022-02-10,
10,Engelberg,2022-12-31,18.1,-3.2,2022-07-06,3.2
11,Stans (Rotzwinkel),2023-01-03,26.6,-6.1,2022-07-10,6.1
12,Meilen (Rorguet),2022-12-30,44.9,1.3,2022-03-21,1.3
13,Glarnerland,2022-12-28,10.0,-4.4,2022-04-07,4.4
14,Cham (Schoenau),2023-01-02,10.9,-1.9,2022-07-13,1.9
15,Illnau-Effretikon,2022-12-30,19.8,-1.9,2022-03-17,1.9
16,Dübendorf (Ika Neugut),2022-12-30,89.4,-6.4,2022-12-19,6.4
17,Uster (Jungholz),2022-12-30,37.7,-8.7,2022-07-11,8.7
18,Affoltern am Albis,2022-12-30,25.3,-4.4,2022-03-10,4.4
19,Vuippens (Ais),2022-12-30,11.2,-19.4,2022-03-05,19.4
20,Fribourg (Aele),2023-01-05,6.2,-3.2,2022-02-10,3.2
21,Winterthur,2022-12-31,46.6,2.3,2022-07-15,2.3
22,Dietikon (Limeco),2022-12-30,31.7,5.3,2022-07-11,5.3
23,Winznau (Zv Olten),,,,2022-03-07,
24,Zuchwil (Soloth.-Emme),2023-01-04,45.2,36.3,2022-03-07,36.3
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2023-01-05,11.1,-6.2,2022-03-16,6.2
27,Basel,2023-01-06,2.4,-1.8,2022-03-24,1.8
28,Neuhausen A/Rhf. (Roeti),,,,2022-03-13,
29,Ramsen (Bibertal-Hegau),,,,2022-07-23,
30,Hallau (Klettgau),,,,2022-03-13,
31,Andelfingen,2022-12-30,31.7,-13.5,2022-11-14,13.5
32,Herisau (Bachwis),2022-12-29,10.5,-6.5,2022-03-17,6.5
33,Lyss,,,,2022-03-10,
34,Appenzell (Boedeli),,,,2022-03-31,
35,St.Gallen (Au),2022-12-31,4.0,-1.9,2022-04-01,1.9
36,St.Gallen (Hofen),2022-12-30,13.8,6.2,2022-03-07,6.2
37,Aarwangen (Zala),,,,2022-02-10,
38,Steinach (Morgental),2022-12-30,5.4,-1.3,2022-03-17,1.3
39,Au (Rosenbergsau),2022-12-30,5.9,-5.0,2022-03-07,5.0
40,Altenrhein,2023-01-05,13.1,-8.3,2022-03-15,8.3
41,Buchs,2022-12-31,2.7,-5.2,2022-03-07,5.2
42,Bad Ragaz,2022-12-30,6.8,-1.6,2022-03-05,1.6
43,Flums (Seez),2023-01-04,5.9,2.1,2022-03-05,2.1
44,Rapperswil-Jona,2023-01-05,13.3,8.7,2022-03-06,8.7
45,Flawil (Oberglatt),2022-12-30,6.6,-9.8,2022-03-07,9.8
46,Wil,2022-12-31,4.9,-1.5,2022-03-07,1.5
47,Region Bern,2023-01-05,7.3,-1.6,2022-02-10,1.6
48,Poschiavo (Li Geri),2022-12-28,80.3,70.2,2022-11-05,70.2
49,Schluein (Gruob),2022-12-28,35.5,-8.7,2022-03-31,8.7
50,Worblental,,,,2022-03-06,
51,Cazis (Waldau),2022-12-28,9.0,-6.3,2022-04-07,6.3
52,Scuol (Sot Ruinas),2022-12-28,45.6,23.1,2022-07-02,23.1
53,S-chanf (Oberengadin),2022-12-28,61.0,29.5,2022-06-30,29.5
54,Davos (Gadenstatt),2022-12-28,21.9,5.9,2022-02-26,5.9
55,Klosters (Gulfia),2022-12-28,66.2,-22.0,2022-12-22,22.0
56,Chur,2023-01-05,8.4,-4.6,2022-03-12,4.6
57,Arosa,2022-12-28,16.0,-6.7,2022-04-09,6.7
58,Landquart,2022-12-28,46.6,21.8,2022-11-07,21.8
59,Seewis (Vorderes Prättigau),2022-12-28,17.1,10.9,2022-02-28,10.9
60,Aarau,,,,2022-07-20,
61,Baden,,,,2022-03-08,
62,Bremgarten,,,,2022-07-22,
63,Wohlen,,,,2022-03-10,
64,Moossee-Urtenenbach,,,,2022-03-07,
65,Brugg,,,,2022-03-07,
66,Reinach,,,,2022-03-10,
67,Kaisten,,,,2022-07-19,
68,Lenzburg,,,,2022-03-08,
69,Aarburg,,,,2022-03-07,
70,Zofingen,,,,2022-03-10,
71,"Hefenhofen (Aachtal, Moos)",2022-12-30,4.9,-0.1,2022-03-05,0.1
72,Frauenfeld,2023-01-04,32.7,23.1,2022-03-05,23.1
73,Weinfelden (Mittelthurgau),,,,2022-03-05,
74,Bellinzona (Giubiasco),2022-12-31,55.2,16.8,2022-03-22,16.8
75,Locarno (Foce Ticino),2022-12-31,56.4,-21.6,2022-03-25,21.6
76,Locarno (Foce Maggia),2023-01-06,17.2,-39.1,2022-03-22,39.1
77,Lugano,2023-01-05,27.8,-12.7,2022-03-13,12.7
78,Mendrisio (Rancate),2022-12-30,79.3,34.2,2022-02-10,34.2
79,Chiasso (Vacallo),2023-01-06,26.3,-34.2,2022-10-08,34.2
80,Bülach,2022-12-30,28.8,6.1,2022-03-10,6.1
81,Lausanne (Vidy),2023-01-05,46.6,15.5,2022-03-07,15.5
82,Morges,,,,2022-03-06,
83,Commugny,,,,2022-03-07,
84,Gland (Apec),,,,2022-03-30,
85,Nyon,,,,2022-03-28,
86,Grindelwald,2023-01-05,71.4,17.2,2022-07-11,17.2
87,Lauterbrunnen,,,,2022-02-10,
88,Montreux/Pierrier,,,,2022-07-11,
89,Vevey (Aviron),,,,2022-03-05,
90,Interlaken,,,,2022-03-07,
91,Yverdon,,,,2022-07-11,
92,Brig-Glis (Briglina),2023-01-05,12.3,-7.1,2022-09-24,7.1
93,Bagnes-Le Châble,2023-01-03,91.5,4.8,2022-12-23,4.8
94,Goms,2022-12-29,15.3,-7.8,2022-07-17,7.8
95,Martigny,2023-01-04,23.5,9.6,2022-10-10,9.6
96,Sierre/Noes,2023-01-06,21.3,-34.9,2022-10-15,34.9
97,Sion/Chateauneuf,2022-12-30,10.3,-7.6,2022-06-18,7.6
98,Zermatt,2022-12-30,33.3,-18.5,2022-07-15,18.5
99,Colombier (La Saunerie),2022-12-29,5.4,-31.3,2022-10-02,31.3
100,La-Chaux-de-Fonds,2022-12-29,0.4,-16.0,2022-03-06,16.0
101,Neuchatel,2023-01-04,14.7,-0.7,2022-03-12,0.7
102,Satigny/Bois-de-Bay,,,,2022-03-21,
103,Thonex/Villette,,,,2022-03-25,
104,Aire,2023-01-05,13.9,-9.1,2022-12-03,9.1
105,Laupen,2022-12-31,4.0,-3.0,2022-03-12,3.0
106,Delemont (Sede),2023-01-02,58.0,43.9,2022-02-10,43.9
107,Porrentruy (Sepe),2023-01-05,100.0,72.0,2022-11-17,72.0
108,Biel,,,,2022-03-06,
109,Saanen,2022-12-31,40.6,30.3,2022-03-08,30.3
110,Niederglatt (Fischb.-Gl.),2022-12-30,25.6,-2.7,2022-07-11,2.7
111,Thunersee,2023-01-05,14.2,6.7,2022-03-08,6.7
112,Mittl. Emmental,2022-12-29,5.2,1.1,2022-03-05,1.1
