,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,,,,2022-03-07,
1,Buholz (Real),2023-06-20,14.0,0.2,2022-02-26,0.2
2,Rontal,,,,2022-07-01,
3,Altdorf,2023-06-20,3.7,-3.0,2022-03-02,3.0
4,Wetzikon (Flos),,,,2022-03-21,
5,Hoefe,,,,2022-10-03,
6,Horgen,,,,2022-10-01,
7,Untermarch,,,,2022-02-25,
8,Schwyz,2023-06-20,15.0,5.9,2022-07-11,5.9
9,Alpnach (Sarneraatal),2023-06-20,6.0,-0.6,2022-02-10,0.6
10,Engelberg,,,,2022-07-06,
11,Stans (Rotzwinkel),2023-06-20,5.5,0.4,2022-07-10,0.4
12,Meilen (Rorguet),,,,2022-03-21,
13,Glarnerland,2023-06-21,1.1,-3.6,2022-04-07,3.6
14,Cham (Schoenau),2023-06-20,2.8,-3.4,2022-07-13,3.4
15,Illnau-Effretikon,,,,2022-03-17,
16,Dübendorf (Ika Neugut),,,,2022-12-19,
17,Uster (Jungholz),,,,2022-07-11,
18,Affoltern am Albis,,,,2022-03-10,
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),2023-06-21,0.8,0.1,2022-02-10,0.1
21,Winterthur,,,,2022-07-15,
22,Dietikon (Limeco),,,,2022-07-11,
23,Winznau (Zv Olten),,,,2022-03-07,
24,Zuchwil (Soloth.-Emme),2023-06-21,1.1,-0.2,2022-03-07,0.2
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2023-06-22,3.4,-0.1,2022-03-16,0.1
27,Basel,2023-06-23,4.4,,2022-03-24,
28,Birs,2023-06-17,0.3,-2.2,2023-03-14,2.2
29,Birsig,,,,2022-12-06,
30,Zwingen (Laufental-L-Tal),,,,2022-12-09,
31,Ergolz 2,,,,2022-11-18,
32,Pratteln/Rhein,,,,2022-12-23,
33,Ergolz 1,,,,2022-11-13,
34,Neuhausen A/Rhf. (Roeti),2023-06-21,0.6,-0.9,2022-12-24,0.9
