,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,2022-10-19,32.1,-16.2,2022-03-07,16.2
1,Buholz (Real),2022-10-17,35.6,-12.5,2022-02-26,12.5
2,Rontal,2022-10-18,31.0,-42.6,2022-07-01,42.6
3,Altdorf,2022-10-17,63.9,12.8,2022-03-02,12.8
4,Wetzikon (Flos),2022-10-21,35.7,-34.4,2022-03-21,34.4
5,Hoefe,2022-10-18,46.6,-5.0,2022-10-03,5.0
6,Horgen,2022-10-21,46.7,-9.3,2022-10-01,9.3
7,Untermarch,2022-10-18,97.6,40.6,2022-02-25,40.6
8,Schwyz,2022-10-18,35.1,-39.1,2022-07-11,39.1
9,Alpnach (Sarneraatal),2022-10-17,77.5,5.8,2022-02-10,5.8
10,Engelberg,2022-10-18,69.1,27.5,2022-07-06,27.5
11,Stans (Rotzwinkel),2022-10-17,41.7,-9.9,2022-07-10,9.9
12,Meilen (Rorguet),2022-10-21,33.6,-21.7,2022-03-21,21.7
13,Glarnerland,2022-10-19,12.8,-2.5,2022-04-07,2.5
14,Cham (Schoenau),2022-10-17,36.4,-18.5,2022-07-13,18.5
15,Illnau-Effretikon,2022-10-21,38.6,-20.3,2022-03-17,20.3
16,Dübendorf (Ika Neugut),2022-10-21,33.0,-30.9,2022-07-21,30.9
17,Uster (Jungholz),2022-10-21,53.5,-39.2,2022-07-11,39.2
18,Affoltern am Albis,2022-10-21,13.9,-27.8,2022-03-10,27.8
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),,,,2022-02-10,
21,Winterthur,2022-10-21,51.9,-9.4,2022-07-15,9.4
22,Dietikon (Limeco),2022-10-21,29.2,-19.2,2022-07-11,19.2
23,Winznau (Zv Olten),2022-10-19,5.7,-15.6,2022-03-07,15.6
24,Zuchwil (Soloth.-Emme),2022-10-19,24.5,-8.8,2022-03-07,8.8
25,Grenchen (Buerenamt),2022-10-16,36.4,0.2,2022-03-07,0.2
26,Werdhölzli,2022-10-20,17.4,-7.9,2022-03-16,7.9
27,Basel,2022-10-21,6.9,-25.1,2022-03-24,25.1
28,Neuhausen A/Rhf. (Roeti),2022-10-19,6.0,-33.5,2022-03-13,33.5
29,Ramsen (Bibertal-Hegau),2022-10-19,9.7,-14.0,2022-07-23,14.0
30,Hallau (Klettgau),2022-10-19,11.4,-8.4,2022-03-13,8.4
31,Andelfingen,2022-10-21,27.1,-28.4,2022-10-03,28.4
32,Herisau (Bachwis),2022-10-21,25.1,,2022-03-17,
33,Lyss,2022-10-16,27.5,-1.3,2022-03-10,1.3
34,Appenzell (Boedeli),2022-10-19,2.8,-1.9,2022-03-31,1.9
35,St.Gallen (Au),2022-10-20,7.3,-0.3,2022-04-01,0.3
36,St.Gallen (Hofen),2022-10-21,25.1,15.2,2022-03-07,15.2
37,Aarwangen (Zala),2022-10-20,17.5,-3.7,2022-02-10,3.7
38,Steinach (Morgental),2022-10-21,8.3,-1.0,2022-03-17,1.0
39,Au (Rosenbergsau),2022-10-19,42.6,12.9,2022-03-07,12.9
40,Altenrhein,2022-10-20,29.8,2.2,2022-03-15,2.2
41,Buchs,2022-10-21,7.9,-9.2,2022-03-07,9.2
42,Bad Ragaz,2022-10-19,14.1,-0.4,2022-03-05,0.4
43,Flums (Seez),2022-10-19,3.0,-8.5,2022-03-05,8.5
44,Rapperswil-Jona,2022-10-20,8.6,0.6,2022-03-06,0.6
45,Flawil (Oberglatt),,,,2022-03-07,
46,Wil,2022-10-19,9.3,-7.2,2022-03-07,7.2
47,Region Bern,2022-10-20,16.8,-7.7,2022-02-10,7.7
48,Poschiavo (Li Geri),2022-10-19,30.3,-19.3,2022-07-02,19.3
49,Schluein (Gruob),2022-10-19,11.8,-30.3,2022-03-31,30.3
50,Worblental,2022-10-20,26.3,2.6,2022-03-06,2.6
51,Cazis (Waldau),2022-10-19,5.2,-2.1,2022-04-07,2.1
52,Scuol (Sot Ruinas),2022-10-19,30.0,-0.4,2022-07-02,0.4
53,S-chanf (Oberengadin),2022-10-19,9.4,-11.7,2022-06-30,11.7
54,Davos (Gadenstatt),2022-10-16,7.6,-5.8,2022-02-26,5.8
55,Klosters (Gulfia),2022-10-19,24.8,3.6,2022-06-30,3.6
56,Chur,2022-10-20,30.9,-1.7,2022-03-12,1.7
57,Arosa,2022-10-19,8.6,0.8,2022-04-09,0.8
58,Landquart,2022-10-19,25.3,-14.7,2022-03-24,14.7
59,Seewis (Vorderes Prättigau),2022-10-19,5.7,-8.8,2022-02-28,8.8
60,Aarau,2022-10-17,3.1,-17.4,2022-07-20,17.4
61,Baden,2022-10-15,5.4,-11.3,2022-03-08,11.3
62,Bremgarten,2022-10-17,3.3,-11.2,2022-07-22,11.2
63,Wohlen,2022-10-17,3.8,-16.3,2022-03-10,16.3
64,Moossee-Urtenenbach,2022-10-21,10.9,2.6,2022-03-07,2.6
65,Brugg,2022-10-14,8.2,-0.4,2022-03-07,0.4
66,Reinach,,,,2022-03-10,
67,Kaisten,2022-10-13,0.5,-5.2,2022-07-19,5.2
68,Lenzburg,2022-10-13,20.1,-36.3,2022-03-08,36.3
69,Aarburg,2022-10-15,9.0,-9.3,2022-03-07,9.3
70,Zofingen,,,,2022-03-10,
71,"Hefenhofen (Aachtal, Moos)",2022-10-19,12.2,6.4,2022-03-05,6.4
72,Frauenfeld,2022-10-16,41.5,-1.9,2022-03-05,1.9
73,Weinfelden (Mittelthurgau),2022-10-21,37.3,-34.3,2022-03-05,34.3
74,Bellinzona (Giubiasco),2022-10-21,22.1,-6.2,2022-03-22,6.2
75,Locarno (Foce Ticino),2022-10-21,30.8,-10.2,2022-03-25,10.2
76,Locarno (Foce Maggia),2022-10-21,34.8,-31.6,2022-03-22,31.6
77,Lugano,2022-10-20,40.9,-5.7,2022-03-13,5.7
78,Mendrisio (Rancate),2022-10-21,26.7,-22.9,2022-02-10,22.9
79,Chiasso (Vacallo),2022-10-21,37.3,-25.4,2022-10-08,25.4
80,Bülach,2022-10-21,17.6,-7.6,2022-03-10,7.6
81,Lausanne (Vidy),2022-10-21,53.0,10.5,2022-03-07,10.5
82,Morges,,,,2022-03-06,
83,Commugny,,,,2022-03-07,
84,Gland (Apec),,,,2022-03-30,
85,Nyon,,,,2022-03-28,
86,Grindelwald,,,,2022-07-11,
87,Lauterbrunnen,2022-10-21,24.9,13.6,2022-02-10,13.6
88,Montreux/Pierrier,,,,2022-07-11,
89,Vevey (Aviron),,,,2022-03-05,
90,Interlaken,2022-10-19,47.2,1.0,2022-03-07,1.0
91,Yverdon,,,,2022-07-11,
92,Brig-Glis (Briglina),2022-10-15,51.8,-26.5,2022-09-24,26.5
93,Bagnes-Le Châble,2022-10-17,47.5,,2022-07-11,
94,Goms,2022-10-19,49.3,2.6,2022-07-17,2.6
95,Martigny,2022-10-19,67.5,-21.8,2022-10-06,21.8
96,Sierre/Noes,2022-10-21,84.8,-12.6,2022-10-15,12.6
97,Sion/Chateauneuf,2022-10-17,28.8,-4.6,2022-06-18,4.6
98,Zermatt,2022-10-18,27.2,-25.3,2022-07-15,25.3
99,Colombier (La Saunerie),2022-10-20,40.5,-15.4,2022-10-02,15.4
100,La-Chaux-de-Fonds,2022-10-20,3.9,-5.7,2022-03-06,5.7
101,Neuchatel,2022-10-20,34.4,-8.1,2022-03-12,8.1
102,Satigny/Bois-de-Bay,,,,2022-03-21,
103,Thonex/Villette,,,,2022-03-25,
104,Aire,2022-10-19,30.0,-8.1,2022-07-04,8.1
105,Laupen,2022-10-20,19.4,-11.9,2022-03-12,11.9
106,Delemont (Sede),2022-10-21,9.4,-2.4,2022-02-10,2.4
107,Porrentruy (Sepe),2022-10-19,27.3,-5.6,2022-03-04,5.6
