,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,2023-01-22,2.1,-6.1,2022-03-07,6.1
1,Buholz (Real),2023-01-24,6.2,-3.6,2022-02-26,3.6
2,Rontal,,,,2022-07-01,
3,Altdorf,2023-01-24,8.3,-0.2,2022-03-02,0.2
4,Wetzikon (Flos),,,,2022-03-21,
5,Hoefe,,,,2022-10-03,
6,Horgen,,,,2022-10-01,
7,Untermarch,,,,2022-02-25,
8,Schwyz,2023-01-24,8.4,-3.4,2022-07-11,3.4
9,Alpnach (Sarneraatal),2023-01-24,29.0,6.9,2022-02-10,6.9
10,Engelberg,,,,2022-07-06,
11,Stans (Rotzwinkel),2023-01-24,8.0,-4.7,2022-07-10,4.7
12,Meilen (Rorguet),,,,2022-03-21,
13,Glarnerland,2023-01-25,14.7,3.0,2022-04-07,3.0
14,Cham (Schoenau),2023-01-22,2.4,-9.7,2022-07-13,9.7
15,Illnau-Effretikon,2023-01-25,18.2,-12.7,2022-03-17,12.7
16,Dübendorf (Ika Neugut),,,,2022-12-19,
17,Uster (Jungholz),,,,2022-07-11,
18,Affoltern am Albis,,,,2022-03-10,
19,Vuippens (Ais),,,,2022-03-05,
20,Fribourg (Aele),2023-01-22,2.7,-0.3,2022-02-10,0.3
21,Winterthur,2023-01-25,30.4,14.6,2022-07-15,14.6
22,Dietikon (Limeco),2023-01-25,16.0,2.8,2022-07-11,2.8
23,Winznau (Zv Olten),,,,2022-03-07,
24,Zuchwil (Soloth.-Emme),2023-01-25,3.7,0.4,2022-03-07,0.4
25,Grenchen (Buerenamt),,,,2022-03-07,
26,Werdhölzli,2023-01-26,9.2,1.1,2022-03-16,1.1
27,Basel,2023-01-27,12.6,8.5,2022-03-24,8.5
28,Neuhausen A/Rhf. (Roeti),,,,2022-03-13,
29,Ramsen (Bibertal-Hegau),,,,2022-07-23,
30,Hallau (Klettgau),,,,2022-03-13,
31,Andelfingen,,,,2022-11-14,
32,Herisau (Bachwis),,,,2022-03-17,
33,Lyss,,,,2022-03-10,
34,Appenzell (Boedeli),,,,2022-03-31,
35,St.Gallen (Au),,,,2022-04-01,
36,St.Gallen (Hofen),,,,2022-03-07,
37,Aarwangen (Zala),,,,2022-02-10,
38,Steinach (Morgental),,,,2022-03-17,
39,Au (Rosenbergsau),,,,2022-03-07,
40,Altenrhein,2023-01-26,8.1,-0.0,2022-03-15,-0.0
41,Buchs,,,,2022-03-07,
42,Bad Ragaz,,,,2022-03-05,
43,Flums (Seez),2023-01-22,0.7,-0.5,2022-03-05,0.5
44,Rapperswil-Jona,2023-01-26,1.2,-1.4,2022-03-06,1.4
45,Flawil (Oberglatt),,,,2022-03-07,
46,Wil,,,,2022-03-07,
47,Region Bern,2023-01-25,1.2,-4.5,2022-02-10,4.5
48,Poschiavo (Li Geri),,,,2022-11-05,
49,Schluein (Gruob),2023-01-25,21.6,9.3,2022-03-31,9.3
50,Worblental,,,,2022-03-06,
51,Cazis (Waldau),,,,2022-04-07,
52,Scuol (Sot Ruinas),,,,2022-07-02,
53,S-chanf (Oberengadin),2023-01-25,23.1,1.5,2022-12-31,1.5
54,Davos (Gadenstatt),2023-01-25,6.2,-5.3,2022-02-26,5.3
55,Klosters (Gulfia),,,,2022-12-22,
56,Chur,2023-01-26,7.8,-1.5,2022-03-12,1.5
57,Arosa,,,,2022-04-09,
58,Landquart,,,,2022-11-07,
59,Seewis (Vorderes Prättigau),,,,2022-02-28,
60,Aarau,,,,2022-07-20,
61,Baden,,,,2022-03-08,
62,Bremgarten,,,,2022-07-22,
63,Wohlen,,,,2022-03-10,
64,Moossee-Urtenenbach,,,,2022-03-07,
65,Brugg,,,,2022-03-07,
66,Reinach,,,,2022-03-10,
67,Kaisten,,,,2022-07-19,
68,Lenzburg,,,,2022-03-08,
69,Aarburg,,,,2022-03-07,
70,Zofingen,,,,2022-03-10,
71,"Hefenhofen (Aachtal, Moos)",,,,2022-03-05,
72,Frauenfeld,2023-01-25,3.9,0.7,2022-03-05,0.7
73,Weinfelden (Mittelthurgau),,,,2022-03-05,
74,Bellinzona (Giubiasco),,,,2022-03-22,
75,Locarno (Foce Ticino),,,,2022-03-25,
76,Locarno (Foce Maggia),2023-01-27,15.3,4.9,2022-03-22,4.9
77,Lugano,2023-01-26,12.8,0.5,2022-03-13,0.5
78,Mendrisio (Rancate),,,,2022-02-10,
79,Chiasso (Vacallo),2023-01-27,19.6,11.3,2022-10-08,11.3
80,Bülach,2023-01-25,13.3,7.3,2022-03-10,7.3
81,Lausanne (Vidy),2023-01-26,3.3,-4.5,2022-03-07,4.5
82,Morges,,,,2022-03-06,
83,Commugny,,,,2022-03-07,
84,Gland (Apec),,,,2022-03-30,
85,Nyon,,,,2022-03-28,
86,Grindelwald,2023-01-19,2.1,-5.7,2022-07-11,5.7
87,Lauterbrunnen,,,,2022-02-10,
88,Montreux/Pierrier,,,,2022-07-11,
89,Vevey (Aviron),,,,2022-03-05,
90,Interlaken,,,,2022-03-07,
91,Yverdon,,,,2022-07-11,
92,Brig-Glis (Briglina),2023-01-27,3.5,-0.4,2022-09-24,0.4
93,Bagnes-Le Châble,2023-01-26,9.4,-5.3,2022-12-23,5.3
94,Goms,,,,2022-07-17,
95,Martigny,2023-01-25,0.8,-0.8,2022-10-10,0.8
96,Sierre/Noes,2023-01-27,5.2,-1.9,2022-10-15,1.9
97,Sion/Chateauneuf,,,,2022-06-18,
98,Zermatt,,,,2022-07-15,
99,Colombier (La Saunerie),,,,2022-10-02,
100,La-Chaux-de-Fonds,,,,2022-03-06,
101,Neuchatel,2023-01-25,3.3,0.1,2022-03-12,0.1
102,Satigny/Bois-de-Bay,,,,2022-03-21,
103,Thonex/Villette,,,,2022-03-25,
104,Aire,2023-01-25,7.3,-0.7,2022-12-03,0.7
105,Laupen,2023-01-26,4.4,0.3,2022-03-12,0.3
106,Delemont (Sede),2023-01-26,1.5,-1.3,2022-02-10,1.3
107,Porrentruy (Sepe),2023-01-25,2.3,-1.7,2022-11-17,1.7
108,Biel,,,,2022-03-06,
109,Saanen,,,,2022-03-08,
110,Niederglatt (Fischb.-Gl.),,,,2022-07-11,
111,Thunersee,2023-01-25,2.0,0.9,2022-03-08,0.9
112,Mittl. Emmental,,,,2022-03-05,
