,name,date,vl_percentile_mean7d,vl_percentile_mean7d_diff_pp,max_date,vl_percentile_mean7d_diff_pp_show
0,Liechtenstein,,,,2022-03-07,
1,Buholz (Real),,,,2022-02-26,
2,Rontal,2022-11-29,55.4,10.0,2022-07-01,10.0
3,Altdorf,,,,2022-03-02,
4,Wetzikon (Flos),2022-12-02,43.8,9.0,2022-03-21,9.0
5,Hoefe,2022-11-29,21.0,-15.3,2022-10-03,15.3
6,Horgen,2022-12-02,46.0,14.1,2022-10-01,14.1
7,Untermarch,2022-11-29,17.7,-24.5,2022-02-25,24.5
8,Schwyz,2022-11-30,48.2,-13.1,2022-07-11,13.1
9,Alpnach (Sarneraatal),,,,2022-02-10,
10,Engelberg,2022-11-29,10.0,-5.6,2022-07-06,5.6
11,Stans (Rotzwinkel),,,,2022-07-10,
12,Meilen (Rorguet),2022-12-02,25.0,-9.2,2022-03-21,9.2
13,Glarnerland,2022-11-30,24.7,7.4,2022-04-07,7.4
14,Cham (Schoenau),,,,2022-07-13,
15,Illnau-Effretikon,2022-12-02,26.1,-6.3,2022-03-17,6.3
16,Dübendorf (Ika Neugut),2022-12-02,37.6,14.5,2022-07-21,14.5
17,Uster (Jungholz),2022-12-02,33.5,-3.8,2022-07-11,3.8
18,Affoltern am Albis,2022-12-02,21.1,-3.0,2022-03-10,3.0
19,Vuippens (Ais),2022-11-30,42.3,11.1,2022-03-05,11.1
20,Fribourg (Aele),2022-12-01,27.5,-1.0,2022-02-10,1.0
21,Winterthur,2022-12-02,43.8,-8.7,2022-07-15,8.7
22,Dietikon (Limeco),2022-12-02,30.5,-3.1,2022-07-11,3.1
23,Winznau (Zv Olten),2022-11-30,24.3,16.0,2022-03-07,16.0
24,Zuchwil (Soloth.-Emme),2022-11-30,16.3,5.9,2022-03-07,5.9
25,Grenchen (Buerenamt),2022-11-30,25.7,-0.5,2022-03-07,0.5
26,Werdhölzli,2022-12-01,15.3,-5.3,2022-03-16,5.3
27,Basel,2022-12-02,15.4,6.0,2022-03-24,6.0
28,Neuhausen A/Rhf. (Roeti),,,,2022-03-13,
