Datum,Patienten ohne Intensivpflege,Patienten auf Intensiv- oder Überwachungsstation,freie Intensivbetten
2021-10-11,11,10.0,19.0
2021-10-12,8,11.0,17.0
2021-10-13,11,11.0,18.0
2021-10-14,15,10.0,17.0
2021-10-15,17,12.0,13.0
2021-10-16,17,12.0,13.0
2021-10-17,17,12.0,13.0
2021-10-18,22,9.0,21.0
2021-10-19,21,7.0,22.0
2021-10-20,18,8.0,20.0
2021-10-21,19,8.0,16.0
2021-10-22,20,9.0,15.0
2021-10-23,20,9.0,15.0
2021-10-24,20,9.0,15.0
2021-10-25,23,11.0,15.0
2021-10-26,23,9.0,14.0
2021-10-27,17,8.0,14.0
2021-10-28,18,11.0,16.0
2021-10-29,23,12.0,8.0
2021-10-30,23,12.0,8.0
2021-10-31,23,12.0,8.0
2021-11-01,25,12.0,16.0
2021-11-02,27,14.0,11.0
2021-11-03,22,13.0,11.0
2021-11-04,21,10.0,8.0
2021-11-05,17,12.0,9.0
2021-11-06,17,12.0,9.0
2021-11-07,17,12.0,9.0
2021-11-08,26,12.0,11.0
2021-11-09,29,12.0,7.0
2021-11-10,30,10.0,13.0
2021-11-11,34,8.0,9.0
2021-11-12,42,11.0,6.0
2021-11-13,42,11.0,6.0
2021-11-14,42,11.0,6.0
2021-11-15,44,9.0,16.0
2021-11-16,48,9.0,17.0
2021-11-17,50,11.0,12.0
2021-11-18,51,11.0,9.0
2021-11-19,57,12.0,8.0
2021-11-20,57,12.0,8.0
2021-11-21,57,12.0,8.0
2021-11-22,71,20.0,16.0
2021-11-23,61,15.0,7.0
2021-11-24,62,15.0,12.0
2021-11-25,58,19.0,4.0
2021-11-26,60,19.0,4.0
2021-11-27,60,19.0,4.0
2021-11-28,60,19.0,4.0
2021-11-29,71,25.0,11.0
2021-11-30,74,24.0,7.0
2021-12-01,71,21.0,9.0
2021-12-02,70,23.0,5.0
2021-12-03,72,22.0,4.0
2021-12-04,72,22.0,4.0
2021-12-05,72,22.0,4.0
2021-12-06,96,25.0,8.0
