Datum,Patienten ohne Intensivpflege,Patienten auf Intensiv- oder Überwachungsstation,freie Intensivbetten
2021-09-15,60,26.0,8.0
2021-09-16,58,26.0,7.0
2021-09-17,52,24.0,7.0
2021-09-18,52,24.0,7.0
2021-09-19,52,24.0,7.0
2021-09-20,48,24.0,9.0
2021-09-21,35,21.0,14.0
2021-09-22,32,21.0,13.0
2021-09-23,29,22.0,9.0
2021-09-24,29,23.0,3.0
2021-09-25,29,23.0,3.0
2021-09-26,29,23.0,3.0
2021-09-27,28,25.0,9.0
2021-09-28,26,22.0,6.0
2021-09-29,20,20.0,10.0
2021-09-30,25,17.0,14.0
2021-10-01,27,16.0,15.0
2021-10-02,27,16.0,15.0
2021-10-03,27,16.0,15.0
2021-10-04,27,16.0,14.0
2021-10-05,24,16.0,13.0
2021-10-06,17,14.0,14.0
2021-10-07,15,13.0,15.0
2021-10-08,12,14.0,12.0
2021-10-09,12,14.0,12.0
2021-10-10,12,14.0,12.0
2021-10-11,11,10.0,19.0
2021-10-12,8,11.0,17.0
2021-10-13,11,11.0,18.0
2021-10-14,15,10.0,17.0
2021-10-15,17,12.0,13.0
2021-10-16,17,12.0,13.0
2021-10-17,17,12.0,13.0
2021-10-18,22,9.0,21.0
2021-10-19,21,7.0,22.0
2021-10-20,18,8.0,20.0
2021-10-21,19,8.0,16.0
2021-10-22,20,9.0,15.0
2021-10-23,20,9.0,15.0
2021-10-24,20,9.0,15.0
2021-10-25,23,11.0,15.0
2021-10-26,23,9.0,14.0
2021-10-27,17,8.0,14.0
2021-10-28,18,11.0,16.0
2021-10-29,23,12.0,8.0
2021-10-30,23,12.0,8.0
2021-10-31,23,12.0,8.0
2021-11-01,25,12.0,16.0
2021-11-02,27,14.0,11.0
2021-11-03,22,13.0,11.0
2021-11-04,21,10.0,8.0
2021-11-05,17,12.0,9.0
2021-11-06,17,12.0,9.0
2021-11-07,17,12.0,9.0
2021-11-08,26,12.0,11.0
2021-11-09,29,12.0,7.0
2021-11-10,30,10.0,13.0
