Datum,Patienten ohne Intensivpflege,Patienten auf Intensiv- oder Überwachungsstation,freie Beatmungsplätze
2021-12-12,94,26.0,9.0
2021-12-13,101,29.0,8.0
2021-12-14,81,29.0,7.0
2021-12-15,86,29.0,10.0
2021-12-16,77,29.0,7.0
2021-12-17,75,28.0,4.0
2021-12-18,75,28.0,4.0
2021-12-19,75,28.0,4.0
2021-12-20,84,28.0,11.0
2021-12-21,82,28.0,6.0
2021-12-22,82,31.0,4.0
2021-12-23,78,31.0,4.0
2021-12-24,78,31.0,4.0
2021-12-25,78,31.0,4.0
2021-12-26,78,31.0,4.0
2021-12-27,70,35.0,4.0
2021-12-28,73,31.0,2.0
2021-12-29,82,31.0,3.0
2021-12-30,82,31.0,4.0
2021-12-31,82,31.0,4.0
2022-01-01,82,31.0,4.0
2022-01-02,82,31.0,4.0
2022-01-03,83,29.0,9.0
2022-01-04,80,29.0,6.0
2022-01-05,74,31.0,6.0
2022-01-06,79,29.0,10.0
2022-01-07,76,27.0,5.0
2022-01-08,76,27.0,5.0
2022-01-09,76,27.0,5.0
2022-01-10,76,22.0,12.0
2022-01-11,70,20.0,12.0
2022-01-12,75,14.0,13.0
2022-01-13,72,17.0,14.0
2022-01-14,76,14.0,15.0
2022-01-15,76,14.0,15.0
2022-01-16,76,14.0,15.0
2022-01-17,76,15.0,15.0
2022-01-18,73,17.0,8.0
2022-01-19,69,19.0,10.0
2022-01-20,64,23.0,10.0
2022-01-21,69,24.0,7.0
2022-01-22,69,24.0,7.0
2022-01-23,69,24.0,7.0
2022-01-24,76,23.0,17.0
2022-01-25,81,21.0,10.0
2022-01-26,92,21.0,3.0
2022-01-27,84,23.0,5.0
2022-01-28,87,22.0,4.0
2022-01-29,87,22.0,4.0
2022-01-30,87,22.0,4.0
2022-01-31,116,15.0,9.0
2022-02-01,116,15.0,10.0
2022-02-02,109,13.0,12.0
2022-02-03,89,11.0,10.0
2022-02-04,86,10.0,8.0
